country,year,va+AF8-agriculture,va+AF8-manufacturing+AF8-15,va+AF8-manufacturing+AF8-16,va+AF8-manufacturing+AF8-17,va+AF8-manufacturing+AF8-18,va+AF8-manufacturing+AF8-19,va+AF8-manufacturing+AF8-20,va+AF8-manufacturing+AF8-21,va+AF8-manufacturing+AF8-22,va+AF8-manufacturing+AF8-23,va+AF8-manufacturing+AF8-24,va+AF8-manufacturing+AF8-25,va+AF8-manufacturing+AF8-26,va+AF8-manufacturing+AF8-27,va+AF8-manufacturing+AF8-28,va+AF8-manufacturing+AF8-29,va+AF8-manufacturing+AF8-30,va+AF8-manufacturing+AF8-31,va+AF8-manufacturing+AF8-32,va+AF8-manufacturing+AF8-33,va+AF8-manufacturing+AF8-34,va+AF8-manufacturing+AF8-35,va+AF8-manufacturing+AF8-36,va+AF8-services
Australia,1972,3271.4951171875,2118.1433105469,105.4050750732,634.1914672852,541.7393188477,126.55884552,495.3294677734,457.0472717285,708.5817871094,117.2384185791,667.1451416016,376.3534545898,676.2147216797,1328.9040527344,1023.2104492188,919.13671875,36.9948577881,244.073135376,203.9256591797,148.920135498,806.0388183594,394.9083557129,433.9760627747,37282.64453125
Australia,1973,4890.3266601563,2654.3012695313,132.0858612061,875.1044921875,747.5322875977,174.6352996826,719.1740112305,617.135925293,956.7747192383,155.9126739502,919.7575073242,538.9411010742,901.9014282227,1943.1540527344,1496.1618652344,1299.4852294922,54.483833313,359.456451416,300.3296813965,219.3207244873,1127.1604003906,552.2376098633,646.3638725281,52896.29296875
Australia,1974,7664.1118164063,3414.5334472656,169.9172821045,853.1977539063,728.8190307617,170.2635803223,825.5518188477,724.0987548828,1122.6043701172,157.1943359375,1043.2020263672,610.3555908203,1069.4489746094,2401.01953125,1848.7023925781,1557.1916503906,67.9469223022,448.2789611816,374.5418701172,273.515411377,1390.6794433594,681.3453979492,717.5853385925,67281.296875
Australia,1975,6215.4858398438,3478.9345703125,173.1220550537,894.6532592773,764.231262207,178.5364379883,849.639465332,763.909362793,1184.3244628906,163.9271697998,1144.1931152344,640.6701049805,1091.8875732422,2480.2395019531,1909.69921875,1544.4921875,66.8024139404,440.7281188965,368.2330322266,268.9082641602,1433.7915039063,702.4676513672,746.4191131592,74531.8046875
Australia,1976,5893.609375,3614.9309082031,179.8896331787,950.8973388672,812.2760009766,189.7604370117,889.9956665039,815.7048950195,1264.6256103516,173.4953308105,1257.1157226563,681.4834594727,1136.4730224609,2605.6547851563,2006.2648925781,1569.5872802734,67.379234314,444.5336914063,371.4126281738,271.230255127,1503.9989013672,736.8648681641,788.4284248352,80004.0546875
Australia,1977,5977.2880859375,3483.7844238281,173.3634033203,933.2922363281,797.2373046875,186.2472076416,863.3798828125,803.5306396484,1245.7512207031,169.7106628418,1265.6665039063,669.2827758789,1096.7531738281,2533.7253417969,1950.8814697266,1484.625,63.318977356,417.7462158203,349.0314025879,254.8859863281,1460.6793212891,715.6409912109,770.0146026611,80082.53125
Australia,1978,5754.2299804688,3828.2041015625,190.502746582,1041.1218261719,889.3477172852,207.7655944824,953.9621582031,899.0161132813,1393.7867431641,188.8005981445,1440.6832275391,746.986328125,1206.5738525391,2805.0385742188,2159.783203125,1605.5904541016,68.0905151367,449.2264099121,375.3334655762,274.0934753418,1615.4453125,791.4665527344,855.5275344849,92914.2890625
Australia,1979,9264.9091796875,4300.6879882813,214.0149230957,1097.4608154297,937.4736328125,219.0085754395,1043.0262451172,948.0001220703,1469.7290039063,204.5868835449,1448.6656494141,841.450378418,1427.4191894531,3345.431640625,2575.8676757813,1688.1578369141,69.4761199951,458.3678588867,382.9711914063,279.671081543,1824.6817626953,893.9792480469,908.9841003418,103056.21875
Australia,1980,10476.9921875,5011.2934570313,249.3767700195,1252.4674072266,1069.8834228516,249.9416046143,1296.8537597656,1141.4005126953,1769.5666503906,201.9052429199,1867.5574951172,966.6200561523,1659.1976318359,3862.4658203125,2973.9660644531,2090.6831054688,84.5830917358,558.035949707,466.2449645996,340.4831237793,1853.2862548828,907.9936523438,1092.5638961792,121449.921875
Australia,1981,10468.94140625,5480.2729492188,272.7145690918,1415.9895019531,1209.5672607422,282.5739440918,1460.5526123047,1344.5200195313,2084.4724121094,205.0024261475,2144.7109375,1065.2464599609,2022.1752929688,3932.4545898438,3027.8547363281,2374.8015136719,103.6714172363,683.9709472656,571.4649658203,417.3218078613,2280.77734375,1117.4373779297,1289.2021484375,139568.609375
Australia,1982,10465.078125,5731.7739257813,285.2300415039,1250.4807128906,1068.1862792969,249.545135498,1285.6437988281,1281.4913330078,1986.7563476563,188.8099517822,1982.2783203125,964.7830200195,1701.8942871094,3166.7333984375,2438.2756347656,1857.6685791016,101.4638824463,669.4066772461,559.2964477539,408.4355163574,2215.3330078125,1085.3737792969,1165.4434127808,138525.828125
Australia,1983,7006.83203125,5392.9501953125,268.369140625,1261.6831054688,1077.7556152344,251.7806854248,1329.6877441406,1290.5921630859,2000.8656005859,163.6665649414,2044.5522460938,952.7760620117,1632.267578125,3612.26171875,2781.3176269531,1709.470703125,86.2449493408,569,475.4055480957,347.1728210449,2055.1762695313,1006.9071044922,1181.4721069336,137378.734375
Australia,1984,10568.0126953125,5782.1245117188,287.7356262207,1379.2947998047,1178.2220458984,275.2511901855,1376.8154296875,1469.396484375,2278.0744628906,175.4463653564,2196.28515625,1076.4282226563,1725.1889648438,3845.2961425781,2960.74609375,1822.5979003906,95.3441314697,629.0317993164,525.5627441406,383.8009338379,2121.7084960938,1039.5036621094,1270.9074935913,149172.40625
Australia,1985,9016.03125,5029.8291015625,250.2991790771,1219.1038818359,1041.3835449219,243.2835693359,1162.271484375,1340.3477783203,2078.0041503906,152.5971221924,1913.572265625,976.1893920898,1482.6944580078,3324.9521484375,2560.0991210938,1578.0430908203,85.024520874,560.9483032227,468.6782531738,342.2600402832,1786.3531494141,875.2006835938,1108.5819244385,132670.21875
Australia,1986,8125.1396484375,5059.646484375,251.7829589844,1242.7342529297,1061.5690917969,247.9992675781,1139.0102539063,1401.1958007813,2172.3393554688,153.4826049805,1927.5036621094,1015.8753662109,1476.1271972656,3327.5952148438,2562.1342773438,1581.0782470703,87.3041534424,575.9881591797,481.2442321777,351.4365844727,1746.4450683594,855.6482543945,1117.7324752808,141440.3125
Australia,1987,8297.974609375,5826.8188476563,289.9596862793,1313.0517578125,1121.6356201172,262.0317687988,1263.4873046875,1496.0485839844,2319.3942871094,266.5300598145,2211.55078125,1175.3988037109,1819.1492919922,4041.544921875,3111.8510742188,1791.1309814453,100.284286499,661.6243286133,552.794128418,403.6871032715,2267.294921875,1110.8316650391,1294.9749984741,167936.453125
Australia,1988,10959.109375,7082.1435546875,352.4283752441,1490.1158447266,1272.8874511719,297.3665466309,1492.4854736328,1712.9930419922,2655.7331542969,404.3816833496,2680.6472167969,1433.5445556641,2317.8598632813,5099.8549804688,3926.7131347656,2150.4204101563,121.6587753296,802.6423339844,670.6162109375,489.7286376953,2985.1501464844,1462.5356445313,1580.9204483032,213776
Australia,1989,14472.7626953125,7546.3081054688,375.5266113281,1501.2229003906,1282.3753662109,299.5830688477,1554.9625244141,1739.0803222656,2696.177734375,496.674041748,2850.3195800781,1531.5230712891,2557.1267089844,5587.552734375,4302.2241210938,2269.6098632813,129.4436798096,854.003112793,713.5286254883,521.0661621094,3368.4304199219,1650.3189697266,1690.2252502441,239109.4375
Australia,1990,13886.8798828125,7553.4365234375,375.8813476563,1440.447265625,1230.4595947266,287.4547119141,1534.6235351563,1857.8898925781,2880.3740234375,540.9405517578,2911.9060058594,1510.0589599609,2494.7653808594,5294.6264648438,4076.6806640625,2255.8266601563,136.1269989014,898.0963134766,750.3689575195,547.9693603516,2922.4289550781,1431.8063964844,1651.903793335,223418.234375
Australia,1991,10675.771484375,7407.0981445313,368.5990600586,1349.4331054688,1152.7135009766,269.2919921875,1482.7640380859,1940.7827148438,3008.8862304688,574.9008789063,2915.2502441406,1457.5562744141,2380.7045898438,4889.4663085938,3764.7214355469,2195.9616699219,140.147064209,924.6187133789,772.5287475586,564.1519165039,2410.0317382813,1180.7637939453,1579.3960342407,240811.15625
Australia,1992,10305.314453125,7570.5981445313,376.7353210449,1312.4401855469,1121.1131591797,261.9096984863,1492.078125,2109.4287109375,3270.3461914063,634.6176147461,3042.8366699219,1465.1295166016,2363.7016601563,4677.201171875,3601.2841796875,2227.3327636719,150.285446167,991.5064086914,828.4141235352,604.9631958008,1980.92578125,970.5289916992,1571.3975143433,239416.90625
Australia,1993,10508.009765625,7154.7236328125,356.0401916504,1266.1842041016,1081.6004638672,252.678894043,1323.7623291016,2011.3039550781,3118.2189941406,1201.9936523438,2716.8801269531,1364.107421875,2119.5290527344,4263.7075195313,3282.9084472656,2213.2739257813,144.8996124268,955.9735107422,798.7260131836,583.2828979492,2673.4602050781,1309.8272705078,1545.2529296875,230722.328125
