year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
   1972.0000,  51930.6310,  21219.9921,  34331.4592,  95092.2735, 117486.0960,   8885.4476,  19410.3704,  13233.2770, 189400.7003, 285688.3763,  15855.1045,  62432.5266,   5049.2974, 134337.0105, 314461.8700,  40593.8807,  46554.9138,  15002.4613,  10185.0260,1098531.3696,   9927.9833,  55813.5819,  39545.6794, 162419.2082,1169166.8034
   1973.0000,  68562.3237,  24531.3022,  41635.5781, 107120.6208, 136196.2936,   9629.4611,  25072.2119,  16165.4902, 230440.2189, 343294.3541,  20324.6825,  68164.0993,   5734.2488, 153416.9586, 400376.0899,  47414.8670,  57057.4436,  18491.3240,  12662.1558,1278611.6616,  12649.5205,  68719.4820,  44286.9493, 172572.4511,1257538.0436
   1974.0000,  85190.9406,  29497.0797,  48431.1157, 133884.4132, 144714.1704,  11799.9762,  27834.5739,  21568.9916, 246080.2161, 380117.0809,  22809.5314,  84194.9167,   6451.7160, 176216.4942, 438037.4373,  63234.7072,  67441.1565,  22803.1080,  15955.4404,1498999.9346,  18025.9216,  86152.7655,  54477.0089, 189021.6933,1349635.9962
   1975.0000,  89978.0673,  34153.2647,  54887.6581, 144644.9352, 167558.4669,  12377.2032,  32610.7897,  25820.0642, 307891.7899, 429243.5218,  25290.4502,  84119.7576,   7767.3286, 201574.9839, 470282.8084,  72743.0437,  78573.1370,  28180.4563,  16325.6777,1689214.3435,  20240.0669, 102964.8517,  66799.3854, 225895.3658,1463371.9292
   1976.0000,  94606.2787,  36005.2778,  60796.2952, 164170.1122, 160149.9719,  14388.7576,  35005.2692,  26826.2240, 318661.4787, 458550.6941,  27821.6152,  88292.1552,   7826.1278, 201434.6184, 542859.4528,  73763.6834,  85335.6636,  30442.3349,  17248.1679,1803762.6349,  27181.5146, 104833.2818,  69878.8032, 217151.4638,1651268.7883
   1977.0000,  94587.4555,  44014.8547,  71153.4879, 167535.4416, 175214.6747,  18304.3984,  39261.6032,  27566.5083, 352918.5249, 533475.1748,  31630.8072, 100203.4979,   9788.4579, 226659.3228, 660659.1321,  71447.6139,  98994.7041,  36056.9649,  19754.3825,2037191.0416,  35115.0730, 116275.8805,  72198.5604, 246434.1677,1845158.5011
   1978.0000, 103316.7377,  52028.8665,  87150.8649, 176165.0075, 156826.5957,  22362.5635,  46341.1450,  29756.7612, 434113.6935, 652113.1151,  36841.5168, 111247.6810,  13328.4221, 276681.2033, 923053.9914,  85785.7980, 120256.2958,  36526.0414,  21958.1445,2334846.5708,  49357.8552, 142804.5942,  77335.9972, 309574.3069,2092555.5675
   1979.0000, 123219.6955,  61984.5756, 101936.1335, 207109.5267, 187569.7689,  26061.8356,  54041.4526,  38164.4792, 522683.1451, 771922.7975,  43746.6254, 127617.1874,  16614.4770, 350004.2351, 978181.8737, 116377.2962, 139203.8750,  44084.7082,  24747.8175,2625736.0955,  63584.9714, 186442.7070,  93688.8697, 397798.0111,2381047.3812
   1980.0000, 142504.0507,  71716.1961, 107824.9206, 232850.0474, 215685.7130,  31858.7817,  56129.7311,  47334.6312, 598935.2441, 826591.7440,  47283.4781, 155444.5598,  18672.0138, 435837.2637,1061166.6276, 163005.3750, 149915.1708,  52295.2797,  31455.2920,2962780.8397,  61183.4727, 206176.3124, 107648.7333, 501062.1042,2538161.4529
   1981.0000, 162884.2743,  61724.3628,  90492.1004, 268287.3706, 211321.8665,  33962.1921,  48404.0189,  43679.0518, 521521.3720, 690422.3152,  43844.8331, 158236.9898,  17806.5276, 388874.2072,1165144.3097, 207052.6261, 127711.8111,  50517.1721,  31409.0721,3039429.7674,  70408.5578, 180497.3286,  95612.0841, 467244.3515,2890581.2220
   1982.0000, 157354.4314,  61463.9857,  83771.5431, 262756.4390, 221247.6132,  37400.0289,  47974.7814,  43732.2302, 504809.9673, 681290.5514,  44837.6938, 162629.7159,  17856.7779, 383224.4985,1103637.4918, 135875.9749, 124811.3728,  51023.2855,  30319.0433,3163705.3418,  72091.1054, 174801.5063,  87825.8880, 445314.0982,2944600.4947
   1983.0000, 147082.0609,  61060.9218,  81102.7939, 291185.4633, 248451.1322,  37622.8526,  46823.9574,  42933.8703, 479601.6103, 672970.4358,  41572.9586, 184064.6472,  17997.0200, 392797.7970,1208264.5518, 120203.4103, 121666.8663,  48896.2827,  26309.6902,3129697.7514,  78593.0915, 153501.5170,  81290.1847, 427928.1275,3155730.7776
   1984.0000, 165077.3532,  58316.7605,  78744.8360, 304150.8024, 262013.6964,  39420.5887,  47185.8211,  44169.6918, 453415.2497, 630190.9960,  39571.5524, 172516.2422,  17351.3301, 391296.2356,1269133.2478, 143732.7677, 116340.2131,  50125.9075,  23889.7955,2996164.8503,  89755.1239, 154058.8155,  84201.4036, 396235.3833,3609769.8085
   1985.0000, 150747.7670,  59810.6722,  78150.3653, 314923.9747, 318450.2548,  34626.1230,  51613.5896,  46170.5671, 483663.9487, 645726.6508,  40605.6196, 189642.6258,  19167.0919, 410250.8982,1362644.9758, 153519.7108, 117814.3262,  51856.8423,  25975.9354,3020795.8456,  93225.1632, 164357.3764,  89630.3523, 425764.8079,3803835.9570
   1986.0000, 154272.6641,  85253.3895, 112580.9766, 328725.0216, 310163.7693,  34805.6366,  72209.0258,  59827.7475, 672044.7199, 942085.5338,  49119.6394, 206834.4630,  25302.3416, 579246.5024,1984601.1268, 116852.2296, 172553.2770,  64638.5800,  35214.7229,3118117.7400, 104704.1803, 227131.2701, 121107.9625, 513961.0746,3952625.0389
   1987.0000, 175792.6129, 104225.5862, 136857.0605, 375154.1999, 315556.2699,  36991.8896,  85746.2294,  76252.0369, 799118.9129,1140246.3376,  56867.1348, 219404.1695,  29948.4439, 713487.1950,2396987.8977, 119714.6709, 210516.3985,  78447.1131,  43852.7151,3233473.2365, 135189.3058, 291177.5985, 147758.9166, 634028.4410,4261531.4146
   1988.0000, 222228.1824, 113808.4900, 145472.1831, 442602.7959, 364939.7870,  40693.4424,  89500.0784,  88988.4820, 857746.0329,1226268.0625,  63939.2167, 241197.8161,  33208.9326, 785329.2451,2890111.5734, 155277.6112, 222662.2075,  85984.8127,  52485.1710,3407479.6978, 176945.5889, 345740.2005, 167411.7662, 773249.3587,4605387.4352
   1989.0000, 253188.5964, 114555.3994, 150937.4404, 477647.7029, 395449.3350,  39268.4281,  89534.9931, 100149.5335, 873421.9868,1230493.3990,  67901.1187, 247105.0076,  34546.9530, 824238.2822,2884989.3247, 183416.1058, 221005.1700,  83777.2184,  55670.4079,3557573.7220, 218493.9770, 380000.1014, 176266.2808, 782991.3459,4958233.4317
   1990.0000, 250749.5980, 148534.5763, 187358.6894, 497633.8397, 398440.9488,  41691.6829, 113150.8549, 120170.6527,1103188.0525,1595902.6773,  80670.0159, 278581.5072,  45192.3345,1030418.1622,3059502.5379, 207783.0883, 273973.6777,  98536.6865,  71862.2499,3541011.9138, 255991.9666, 492135.8696, 209651.6028, 918793.6598,5268123.6025
   1991.0000, 248021.9617, 152813.6783, 188315.6115, 507135.7324, 415929.2791,  42045.4467, 112494.1675,  99507.7147,1092771.9946,1716997.2202,  87682.7754, 235555.0906,  46231.7180,1081042.3435,3499149.9400, 252170.9878, 280872.6884,  96034.7852,  81098.7204,3701686.6450, 304495.0484, 528089.7471, 207174.8636, 913516.0977,5351518.9791
   1992.0000, 252678.6019, 168244.5581, 202374.4152, 498555.9538, 484773.6564,  47983.9175, 123462.6880,  90660.0038,1212443.4919,1936463.1397,  93244.8959, 225640.6653,  51066.6449,1147400.0475,3785850.2397, 311213.5165, 308743.2095, 101333.8112,  96352.1165,3728094.8489, 319137.6790, 556811.2166, 213249.8940, 950469.9363,5758729.2863
   1993.0000, 249440.6730, 160270.4797, 200010.6003, 489592.5185, 523271.9078,  56915.8762, 118833.1875,  75280.7376,1127591.0746,1805034.8350,  87770.4295, 249848.6957,  45282.2465, 924436.8638,4229182.6654, 331845.8233, 304672.7500,  96359.8809,  76333.8474,3792324.3688, 348273.4579, 457904.2424, 169627.7007, 893607.9456,6124418.6743
   1994.0000, 263527.0267, 175176.8743, 212010.6014, 496680.9166, 643985.9919,  74552.1902, 129532.8084,  90528.0649,1205335.4948,1933383.2702,  92705.9979, 293986.0065,  50674.4057, 975729.3741,4597141.7924, 341641.2914, 327213.3944, 103165.8112,  85275.2656,3996020.4390, 404328.5138, 473944.4456, 190987.2936, 957357.0505,6475885.9869
   1995.0000, 294470.0858, 215369.6455, 273930.4480, 533980.5942, 800084.1011,  85246.6250, 151347.2954, 118050.1902,1397551.9985,2270446.2521, 107218.0139, 339041.6535,  60320.4962,1047015.6482,5062400.3879, 239750.9024, 372295.4248, 123868.2506, 105646.9858,4583713.6324, 495373.9524, 548582.5310, 231899.5691,1059566.5022,6745474.9811
   1996.0000, 317283.5361, 209476.0063, 266633.1452, 543574.4710, 976062.6273,  88565.1402, 148828.1029, 112428.9626,1375967.9877,2185830.1482, 113282.6425, 357341.3816,  66997.9391,1147628.8138,4529471.4961, 293157.8474, 360018.7384, 126822.9869, 107554.5181,4902158.4646, 539087.6817, 570136.2015, 243601.5062,1109378.6508,7121522.9239
   1997.0000, 335933.6282, 187345.6106, 248625.2977, 566212.0961,1049653.1796,  96478.7652, 145190.6700, 109204.8314,1250324.3666,1948312.8215, 105149.9265, 370675.5730,  72520.3789,1096070.0872,4140776.5876, 351560.5318, 345370.5714, 127484.4372, 103244.4088,5017701.7299, 485022.9101, 532248.1514, 221453.7095,1219363.9618,7667857.2550
   1998.0000, 321435.9695, 192811.8175, 258385.5730, 560691.1589,1076175.1883,  92875.3579, 148084.1306, 118523.2975,1310361.8511,1995613.3429, 111284.2521, 382101.9266,  76421.9613,1114570.9756,3771157.2084, 370051.3186, 346499.4429, 130154.4277, 107258.6617,4681382.6381, 304566.2379, 554084.9040, 224540.9353,1282381.3203,8118897.0789
   1999.0000, 321065.6376, 191281.0004, 259639.3303, 598648.0749,1161402.6326,  80317.4912, 143233.7350, 116077.2043,1287124.3865,1919695.3962, 116828.4371, 409998.8330,  87375.5047,1104606.6622,4227896.5218, 416968.7834, 356285.2595, 133129.9678, 114754.5901,4388887.6727, 421773.0700, 571320.4705, 227335.5635,1298671.0253,8680844.8033
   2000.0000, 327432.3545, 182423.0288, 252359.5030, 663020.3929,1252242.0936,  83962.9217, 135479.3843, 107496.7548,1210064.9102,1736200.4032, 105050.5388, 431662.6717,  86873.7129,1027096.0376,4519612.7276, 498342.9826, 338488.8394, 137029.6276, 106733.6503,4656037.1657, 510515.9769, 545291.9055, 222912.4531,1293109.5689,9159873.2187
   2001.0000, 295343.1796, 184431.9282, 254369.7888, 642302.2266,1446874.8731,  85046.3255, 139958.5810, 113069.5699,1226295.8127,1795238.0152, 104665.8378, 450392.6154,  92783.6952,1051242.9263,4030286.5665, 515420.6961, 346182.6537, 135093.3684, 110324.8765,4660755.9384, 469241.3285, 577906.6409, 205846.7031,1262880.3776,9290377.5786
   2002.0000, 328688.0432, 194408.9783, 283764.2737, 681477.7513,1584305.1859,  85831.5302, 149844.8611, 124855.9712,1306608.0612,1858156.8912, 116756.0042, 482519.9352, 101340.2913,1144594.3974,3831919.6462, 520781.0809, 368230.8043, 152805.9172, 117260.9806,4790922.8255, 547888.9466, 635517.1744, 223884.1342,1324087.3986,9547873.8337
   2003.0000, 384812.8459, 241852.8202, 341692.9104, 788955.3499,1899411.5385,  83839.0616, 179329.0818, 150416.4337,1588492.4431,2196082.8308, 159396.7375, 552133.0516, 128870.6177,1403809.2347,4119958.4371, 619460.2271, 470138.7917, 178699.3544, 140915.1846,5439495.5694, 592764.7898, 809607.3460, 284447.6977,1595896.0089,9979090.2408
   2004.0000, 496125.9351, 273141.1629, 397895.2019, 883305.0341,2166451.8997, 102077.6608, 205737.3275, 168804.3374,1812980.3211,2439294.2783, 187235.9002, 643218.8483, 149344.9831,1602023.0767,4425379.4236, 654691.9889, 539940.0089, 205339.0158, 166186.9207,6542878.2447, 670145.7351, 957673.6446, 323862.4086,1884873.2180,10758473.4715
   2005.0000, 553151.1971, 280899.3303, 408152.2459, 997149.5306,2499484.1041, 127427.5395, 210509.7729, 174165.7952,1906452.5524,2501520.1230, 193448.8089, 778878.4999, 157756.1524,1638484.9464,4460158.2483, 744299.0543, 574767.7849, 239607.6951, 170115.1460,7695456.1218, 792876.0313,1022756.2282, 326482.6122,1899853.3607,11422825.7017
   2006.0000, 591494.6443, 298420.4769, 422629.5266,1129091.3582,2981427.9823, 145827.3814, 232246.4463, 184846.2172,1966104.3707,2679898.9091, 214402.4202, 908557.8760, 174999.0612,1723860.6444,4229780.6605, 841454.4318, 622123.8747, 270201.9236, 173958.9204,9108873.2289, 888627.4646,1114976.9894, 352274.6700,2101008.4196,11947071.6703
   2007.0000, 683175.9531, 348713.8812, 491996.7037,1262897.6903,3905106.6900, 181241.8757, 266426.5269, 220667.7507,2293171.8626,3006247.1357, 248930.1464,1168883.2284, 209504.3585,1972794.0534,4207292.6451, 931832.2822, 695533.7480, 311368.8794, 204411.0509,10996147.8244, 937381.2886,1300267.0439, 417066.4008,2367320.9922,12412455.4650
