                  country,   volatility
                Australia, 0.0008383050
                  Austria, 0.0002303064
   Belgium and Luxembourg, 0.0003726480
                   Canada, 0.0002188454
                    China, 0.0062602370
                 Colombia, 0.0010781814
                  Denmark, 0.0003478253
                  Finland, 0.0003867326
                   France, 0.0002537222
                  Germany, 0.0002879692
                   Greece, 0.0003897553
                    India, 0.0008383059
                  Ireland, 0.0007577345
                    Italy, 0.0001881385
                    Japan, 0.0002937669
                   Mexico, 0.0008849046
              Netherlands, 0.0002418546
                   Norway, 0.0006192152
                 Portugal, 0.0012725074
                      ROW, 0.0017317482
              South Korea, 0.0009771579
                    Spain, 0.0001913990
                   Sweden, 0.0002058134
           United Kingdom, 0.0002097190
            United States, 0.0002996489
