year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
 1972.0000,    6.4408,    5.1530,    7.0330,    7.8413,   11.0819,    4.7566,    7.4109,    6.2116,    6.7908,    6.8375,    3.8570,    4.4023,    5.4121,    5.3212,    5.6307,    3.8848,    5.5562,    7.0212,    4.3939,    8.3210,    3.1722,    3.9348,    8.4194,    6.3150,    8.1989
 1973.0000,    7.9162,    5.8980,    7.6409,    7.8593,   11.7130,    4.5952,    8.9319,    6.9465,    7.5316,    7.7401,    4.4411,    4.4973,    5.8710,    5.6550,    6.4638,    4.0736,    6.3298,    7.9354,    4.8709,    8.6108,    3.4052,    4.4570,    8.9316,    6.2747,    8.0683
 1974.0000,   10.2748,    6.7875,    8.5750,    9.2375,   11.7001,    5.3071,   10.3961,    8.9160,    7.8811,    8.5405,    5.2561,    5.5142,    6.5931,    6.3003,    7.2045,    5.0059,    7.1770,    9.3489,    6.1083,    8.6857,    4.5881,    5.3291,   10.4389,    7.1245,    8.8439
 1975.0000,   10.6190,    7.5986,    9.9078,    9.3259,   12.5531,    5.2971,   11.9922,   10.3501,    9.5888,    9.3271,    5.5267,    5.1095,    7.4657,    6.9384,    7.2617,    5.6313,    8.1218,   11.0796,    6.8392,    8.5382,    4.9050,    6.0329,   12.0432,    8.2168,    9.2815
 1976.0000,   10.5010,    7.5084,    9.9642,    9.7362,   10.9725,    5.4696,   12.1694,   10.4770,    9.3895,    9.2945,    5.5968,    4.5477,   22.8952,    6.3881,    7.6109,    5.1455,    8.3171,   11.3508,    7.0801,    8.2531,    5.1303,    5.8129,   12.2720,    8.2249,    9.5232
 1977.0000,    9.7635,    8.2005,   10.9051,    9.1574,   10.5835,    6.1677,   12.6845,   10.2758,    9.3277,    9.8439,    5.8463,    4.5499,   24.5950,    6.5396,    8.3744,    4.3783,    8.9958,   12.4548,    6.2354,    8.1892,    5.4874,    5.9677,   12.3798,    8.6552,    9.6409
 1978.0000,   10.7207,    9.5436,   12.7968,    9.3870,   12.3081,    6.6133,   14.5974,   10.5872,   11.0257,   11.6015,    6.4707,    5.2825,   10.5792,    7.6439,   11.2556,    5.0802,   10.4617,   11.9635,    6.5424,    9.4287,    6.9251,    6.9974,   13.1371,    9.6066,   10.5526
 1979.0000,   11.2425,   10.3247,   13.5859,    9.9815,   13.7038,    7.1819,   16.1858,   11.9669,   12.4163,   12.7578,    7.1708,    5.7021,   12.6551,    8.7143,   10.9152,    5.9471,   11.4934,   12.7744,    6.9362,    9.3763,    7.8897,    8.6953,   14.6860,   11.5565,   11.0748
 1980.0000,   11.9061,   11.3297,   13.3990,   10.4320,   14.9784,    7.9725,   15.9950,   13.9163,   13.5915,   13.2061,    7.2984,    6.2428,   14.5311,   10.2210,   10.9259,    7.0375,   11.6849,   13.4831,    8.1354,    9.6969,    7.4609,    9.1966,   16.2630,   14.0993,   11.4388
 1981.0000,   12.9631,    9.7804,   10.8778,   11.1016,   12.2669,    8.7655,   13.4055,   12.2104,   11.3340,   10.6422,    6.2053,    5.7706,   12.6718,    8.6259,   10.8901,    7.9583,    9.3299,   25.2718,    7.7548,    9.3834,    7.6953,    7.9580,   13.9358,   12.2052,   12.3025
 1982.0000,   11.9004,    9.2678,    9.1636,   10.7043,   10.7976,    8.8958,   12.2761,   11.2313,   10.1179,    9.8685,    6.4487,    5.6707,   12.1714,    8.0063,    9.4583,    5.0833,    8.6868,   25.6000,    6.8720,    9.1159,    6.9810,    7.2205,   12.1148,   10.8588,   12.1845
 1983.0000,   10.8042,    8.8968,    8.7763,   11.1345,   10.1733,    8.6851,   11.4289,   10.4982,    9.2323,    9.3975,    5.8798,    5.6971,   11.8139,    7.9627,    9.9094,    4.4321,    8.1678,   23.7073,    5.8905,    8.6594,    6.5219,    6.1181,   10.9237,    9.7869,   12.1837
 1984.0000,   10.8734,    8.0178,    7.6781,   10.4773,    6.8895,    8.1965,   10.8111,   10.4011,    8.3812,    8.3283,    5.3789,    5.2382,   29.2169,    7.4095,    9.3891,    4.9951,    7.4278,   22.1345,    5.4159,    8.0636,    6.2959,    5.7563,   10.6751,    9.2870,   12.2776
 1985.0000,    9.1961,    7.7475,    6.8100,   10.0497,    5.5622,    6.9259,   10.9279,   10.1817,    8.4474,    7.9649,    5.1911,    5.0586,   29.8407,    7.2426,    9.1523,    5.0633,    7.0101,   21.5436,    5.2761,    7.6151,    5.8891,    5.7481,   10.8511,    9.2226,   11.9795
