year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
   1972.0000,  51930.6310,  21219.9921,  34331.4592,  95092.2735, 117486.0960,   8885.4476,  19410.3704,  13233.2770, 189400.7003, 285688.3763,  15855.1045,  62432.5266,   5049.2974, 134337.0105, 314461.8700,  40593.8807,  46554.9138,  15002.4613,  10185.0260,1098531.3696,   9927.9833,  55813.5819,  39545.6794, 162419.2082,1169166.8034
   1973.0000,  68174.8185,  24424.1946,  41243.7502, 107164.5318, 139192.9885,   9426.1852,  26179.0512,  16270.3209, 230656.3532, 342963.5708,  20103.8965,  65287.6932,   7012.4571, 153664.4195, 399166.6453,  46628.1835,  56875.6585,  18553.3405,  12653.7420,1281553.2143,  12212.2432,  69257.1797,  44109.0164, 172998.6597,1254908.1203
   1974.0000,  85122.4193,  29019.4185,  47270.2931, 135448.5462, 145762.2157,  11297.2269,  30352.9599,  21887.9856, 246410.0878, 379439.1919,  23063.7666,  83210.0523,   7669.2404, 177331.1684, 430055.3097,  62096.6916,  66937.7560,  23181.8131,  15978.4375,1519115.3420,  17154.8365,  87443.1971,  54894.1638, 191090.9144,1355672.3213
   1975.0000,  90746.5369,  33417.8044,  52870.5902, 144698.1097, 171790.0187,  11969.4817,  35244.7556,  26127.1281, 305469.6120, 423825.8219,  25231.4056,  81170.9023,   8716.9045, 201031.6981, 453908.2529,  75372.8673,  77196.6460,  28886.8373,  16617.7819,1718420.8344,  19460.6755, 103807.8977,  67236.8700, 227918.7342,1454766.3553
   1976.0000,  95154.2051,  35694.2172,  59518.6548, 164444.6644, 157566.3430,  13912.6371,  38926.8105,  27819.1534, 320831.2560, 459298.2086,  28136.5412,  83569.7606,  85847.1292, 201960.4135, 513231.4686,  75157.5927,  86305.7929,  32239.0764,  19008.9093,1839029.2617,  24487.8857, 107183.2436,  72790.6389, 245358.9634,1629667.3686
   1977.0000,  94567.2757,  43337.2847,  68657.7515, 166367.9003, 175456.6721,  17349.9321,  43157.4605,  28220.3218, 350283.0616, 527081.2898,  31502.9145,  94395.8300, 101233.9095, 223302.0346, 615705.9086,  68268.8631,  98260.2093,  38202.2313,  21505.1438,2050839.6173,  30967.6275, 118402.3217,  74240.2894, 277145.7847,1808792.3153
   1978.0000, 106342.6580,  51786.0987,  84408.5153, 177274.3571, 163917.7362,  20499.9491,  51513.2891,  29969.5729, 437588.5525, 652134.7729,  37130.0122, 111260.1577,  19612.4251, 275826.0887, 893554.0181,  86606.3041, 118414.7456,  37356.4725,  23755.5211,2418846.8719,  45566.8388, 146472.4576,  78606.8907, 320650.3892,2138287.0170
   1979.0000, 123686.1562,  60435.7683,  94824.3508, 207067.8630, 187538.4256,  23728.7702,  60441.1165,  37701.0827, 520048.7345, 760786.5541,  43270.8935, 124441.6649,  25642.5271, 345294.6868, 931518.2271, 114164.1116, 134444.9634,  43779.0860,  26557.5305,2680490.1770,  57120.6056, 187508.9220,  93761.1011, 405611.9641,2405398.7126
   1980.0000, 143830.9510,  70391.1996,  97960.2098, 234346.5677, 215541.3886,  28618.9794,  61705.4175,  47153.5766, 599858.3640, 816531.8359,  46854.7196, 147244.9821,  30210.9002, 432829.7205,1004591.5071, 163312.4720, 143387.1326,  50924.6479,  33362.1939,3037059.5450,  54119.1830, 207980.2491, 107869.7498, 513231.0548,2535560.7505
   1981.0000, 165595.6704,  66429.1687,  81123.4368, 267729.1953, 204546.3707,  33160.7295,  55170.1070,  44048.9118, 517579.8629, 675310.0560,  41713.1785, 146576.0897,  29633.3110, 383096.7602,1085991.8860, 209566.6588, 119450.3546, 146098.0514,  33456.4690,3067785.0483,  60763.9343, 183212.5195, 101097.1406, 467011.8917,2919017.0649
