                  country,   volatility
                Australia, 0.0009795235
                  Austria, 0.0004166638
   Belgium and Luxembourg, 0.0048850837
                   Canada, 0.0004556807
                    China, 0.0063245115
                 Colombia, 0.0010120249
                  Denmark, 0.0004451262
                  Finland, 0.0004725214
                   France, 0.0002721241
                  Germany, 0.0002900765
                   Greece, 0.0003501944
                    India, 0.0022491697
                  Ireland, 0.0623703919
                    Italy, 0.0001688498
                    Japan, 0.0002793128
                   Mexico, 0.0032219447
              Netherlands, 0.0019717846
                   Norway, 0.0052330167
                 Portugal, 0.0029127562
                      ROW, 0.0017047374
              South Korea, 0.0013748074
                    Spain, 0.0001868391
                   Sweden, 0.0003808159
           United Kingdom, 0.0002051092
            United States, 0.0002947292
