year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
 1972.0000,    6.4499,    5.1603,    7.0429,    7.8524,   11.0976,    4.7633,    7.4214,    6.2204,    6.8004,    6.8472,    3.8625,    4.4086,    5.4198,    5.3288,    5.6387,    3.8903,    5.5640,    7.0311,    4.4001,    8.3328,    3.1767,    3.9404,    8.4313,    6.3239,    8.2105
 1973.0000,    8.0987,    6.0341,    7.8172,    8.0406,   11.9832,    4.7012,    9.1380,    7.1068,    7.7053,    7.9186,    4.5436,    4.6010,    6.0062,    5.7854,    6.6129,    4.1676,    6.4758,    8.1185,    4.9833,    8.8094,    3.4837,    4.5599,    9.1377,    6.4195,    8.2546
 1974.0000,   10.2356,    6.7616,    8.5422,    9.2022,   11.6554,    5.2868,   10.3564,    8.8819,    7.8510,    8.5079,    5.2360,    5.4931,    6.5679,    6.2762,    7.1769,    4.9868,    7.1496,    9.3131,    6.0850,    8.6525,    4.5705,    5.3087,   10.3990,    7.0972,    8.8101
 1975.0000,   10.3744,    7.4236,    9.6797,    9.1111,   12.2640,    5.1751,   11.7161,   10.1118,    9.3680,    9.1123,    5.3994,    4.9919,    7.2937,    6.7786,    7.0945,    5.5016,    7.9347,   10.8244,    6.6817,    8.3416,    4.7921,    5.8939,   11.7658,    8.0276,    9.0678
 1976.0000,   10.4579,    7.4776,    9.9233,    9.6962,   10.9275,    5.4471,   12.1194,   10.4340,    9.3510,    9.2564,    5.5738,    4.5290,   22.8012,    6.3619,    7.5797,    5.1244,    8.2830,   11.3043,    7.0510,    8.2192,    5.1092,    5.7890,   12.2216,    8.1912,    9.4841
 1977.0000,    9.8861,    8.3035,   11.0420,    9.2724,   10.7164,    6.2452,   12.8438,   10.4048,    9.4448,    9.9675,    5.9196,    4.6070,   24.9038,    6.6217,    8.4795,    4.4333,    9.1087,   12.6112,    6.3137,    8.2920,    5.5563,    6.0426,   12.5352,    8.7639,    9.7620
 1978.0000,   10.8010,    9.6151,   12.8927,    9.4574,   12.4003,    6.6628,   14.7067,   10.6665,   11.1083,   11.6884,    6.5191,    5.3221,   10.6585,    7.7012,   11.3400,    5.1182,   10.5401,   12.0531,    6.5914,    9.4993,    6.9770,    7.0498,   13.2355,    9.6786,   10.6316
 1979.0000,   11.3032,   10.3804,   13.6592,   10.0354,   13.7778,    7.2206,   16.2731,   12.0315,   12.4833,   12.8267,    7.2095,    5.7328,   12.7234,    8.7613,   10.9741,    5.9792,   11.5554,   12.8434,    6.9736,    9.4269,    7.9322,    8.7422,   14.7653,   11.6189,   11.1346
 1980.0000,   11.9578,   11.3789,   13.4572,   10.4772,   15.0435,    8.0071,   16.0644,   13.9767,   13.6505,   13.2634,    7.3301,    6.2699,   14.5942,   10.2654,   10.9733,    7.0681,   11.7357,   13.5415,    8.1707,    9.7390,    7.4933,    9.2365,   16.3336,   14.1605,   11.4885
 1981.0000,   12.9049,    9.7365,   10.8290,   11.0518,   12.2119,    8.7261,   13.3453,   12.1556,   11.2831,   10.5944,    6.1775,    5.7446,   12.6149,    8.5872,   10.8412,    7.9225,    9.2880,   25.1584,    7.7200,    9.3413,    7.6607,    7.9223,   13.8732,   12.1504,   12.2473
 1982.0000,   11.8502,    9.2287,    9.1249,   10.6592,   10.7523,    8.8583,   12.2243,   11.1838,   10.0751,    9.8268,    6.4215,    5.6468,   12.1201,    7.9724,    9.4185,    5.0619,    8.6501,   25.4919,    6.8430,    9.0774,    6.9517,    7.1900,   12.0636,   10.8130,   12.1332
 1983.0000,   10.6041,    8.7320,    8.6137,   10.9283,    9.9849,    8.5243,   11.2172,   10.3038,    9.0614,    9.2235,    5.7710,    5.5916,   11.5951,    7.8152,    9.7258,    4.3501,    8.0165,   23.2683,    5.7814,    8.4990,    6.4011,    6.0048,   10.7214,    9.6057,   11.9581
 1984.0000,   10.7507,    7.9273,    7.5915,   10.3591,    6.8118,    8.1040,   10.6892,   10.2838,    8.2867,    8.2344,    5.3182,    5.1791,   28.8874,    7.3260,    9.2832,    4.9388,    7.3440,   21.8849,    5.3548,    7.9726,    6.2249,    5.6914,   10.5547,    9.1822,   12.1391
 1985.0000,    9.1972,    7.7484,    6.8108,   10.0509,    5.5629,    6.9267,   10.9292,   10.1829,    8.4484,    7.9658,    5.1917,    5.0592,   29.8442,    7.2435,    9.1534,    5.0639,    7.0109,   21.5461,    5.2767,    7.6159,    5.8898,    5.7488,   10.8524,    9.2237,   11.9809
 1986.0000,    9.1198,   10.7874,   19.2487,   10.0496,    4.9672,    6.0206,   14.2465,   12.3710,   11.4757,   11.1026,    6.0699,    4.8906,   14.3418,    9.6339,   12.4807,    3.6924,   10.3108,   26.3651,    6.5779,    7.9984,    5.5438,    7.4548,   13.4286,    9.7217,   11.7237
 1987.0000,    9.1973,   11.7027,   21.6296,   10.3296,    5.3864,    6.2404,   15.5529,   14.1425,   12.5575,   12.3655,    6.7281,    4.4553,   15.0215,   10.7767,   13.3075,    8.3939,   11.7978,   29.5432,    7.1454,    8.3241,    5.7603,    8.4251,   14.8943,   10.6813,   11.4834
 1988.0000,   10.3897,   11.7500,   21.7114,   10.9661,    6.0277,    6.3232,   16.3089,   15.1996,   12.2564,   12.1975,    7.0051,    4.6145,   42.5062,   10.9572,   13.9377,    9.7062,   11.7550,   31.4435,    7.9639,    8.3366,    6.2571,    9.0237,   15.8512,   12.7184,   11.1548
 1989.0000,   11.0074,   11.6209,   21.1404,   11.1466,    6.2175,    5.8585,   15.5393,   15.7359,   11.5959,   11.5278,    7.2148,    4.2676,   41.4129,   10.8163,   12.5977,   11.2161,   10.7913,   28.9526,    7.7023,    8.0860,    7.0949,    9.2063,   15.7260,   12.1958,   11.3320
 1990.0000,   11.3646,   14.0954,   24.7145,   11.4688,    4.6227,    5.7449,   18.2161,   17.8550,   13.7765,   13.6773,    8.6341,    9.1590,   19.0695,   12.7646,   12.2327,   11.7388,   12.3240,   32.2015,    8.9629,    8.4042,    7.6325,   10.9593,   17.8978,   12.6447,   11.5922
 1991.0000,   10.3460,   12.5454,   23.5608,   11.1388,    6.4783,    5.1708,   16.6073,   15.5440,   12.5438,   13.2277,    8.5686,    8.1190,   16.0768,   12.2025,   12.6707,   12.1521,   11.3820,   30.6209,    9.2562,    7.6504,    7.8777,   10.5804,   17.3513,   11.8193,   10.8959
