year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
   1972.0000,  51930.6310,  21219.9921,  34331.4592,  95092.2735, 117486.0960,   8885.4476,  19410.3704,  13233.2770, 189400.7003, 285688.3763,  15855.1045,  62432.5266,   5049.2974, 134337.0105, 314461.8700,  40593.8807,  46554.9138,  15002.4613,  10185.0260,1098531.3696,   9927.9833,  55813.5819,  39545.6794, 162419.2082,1169166.8034
   1973.0000,  68173.4588,  24424.4227,  41243.8493, 107164.5426, 139194.5652,   9426.1006,  26179.6848,  16270.4241, 230656.3814, 342965.4686,  20104.0901,  65288.3181,   7012.5830, 153664.5141, 399163.3315,  46626.7704,  56875.8369,  18553.4195,  12653.8096,1281551.7157,  12212.1355,  69256.6445,  44109.0434, 172999.2399,1254909.8845
   1974.0000,  85122.4195,  29019.4185,  47270.2915, 135448.5445, 145762.2471,  11297.2269,  30352.9515,  21887.9853, 246410.0886, 379439.1714,  23063.7689,  83210.0482,   7669.1982, 177331.1687, 430055.3241,  62096.7092,  66937.7527,  23181.8130,  15978.4373,1519115.2924,  17154.8372,  87443.2005,  54894.1624, 191090.8819,1355672.3415
   1975.0000,  90746.5472,  33417.8069,  52870.5895, 144698.1079, 171790.0517,  11969.4813,  35244.7518,  26127.1296, 305469.6265, 423825.8131,  25231.4098,  81170.8840,   8716.8615, 201031.7032, 453908.2857,  75372.8903,  77196.6468,  28886.8400,  16617.7825,1718420.7910,  19460.6759, 103807.9075,  67236.8707, 227918.6955,1454766.3629
   1976.0000,  95154.2088,  35694.2156,  59518.6636, 164444.6749, 157566.3327,  13912.6395,  38926.8157,  27819.1731, 320831.2337, 459298.0894,  28136.5467,  83569.6990,  85846.9383, 201960.3699, 513231.4363,  75157.6113,  86305.8156,  32239.0875,  19008.9269,1839029.3994,  24487.8889, 107183.3054,  72790.6734, 245359.5678,1629666.8833
   1977.0000,  94567.2873,  43337.2954,  68657.7870, 166367.8910, 175456.6853,  17349.9755,  43157.4727,  28220.3268, 350283.1913, 527081.7543,  31502.9188,  94396.0792, 101233.9107, 223302.2304, 615704.5526,  68268.8448,  98260.2737,  38202.2413,  21505.1412,2050839.6493,  30967.5481, 118402.3540,  74240.3309, 277145.8958,1808792.3064
   1978.0000, 106342.6506,  51786.0959,  84408.5151, 177274.3587, 163917.7369,  20499.9502,  51513.2902,  29969.5747, 437588.5596, 652134.7716,  37130.0074, 111260.1473,  19612.4084, 275826.0859, 893554.0077,  86606.3029, 118414.7453,  37356.4700,  23755.5219,2418846.8709,  45566.8376, 146472.4578,  78606.8966, 320650.4523,2138286.9939
   1979.0000, 123686.1569,  60435.7668,  94824.3496, 207067.8702, 187538.4284,  23728.7691,  60441.1164,  37701.0824, 520048.7401, 760786.5365,  43270.8917, 124441.6634,  25642.5269, 345294.6887, 931518.2207, 114164.1205, 134444.9597,  43779.0843,  26557.5304,2680490.1478,  57120.6095, 187508.9213,  93761.1010, 405611.9694,2405398.7434
   1980.0000, 143830.9533,  70391.1677,  97960.1953, 234346.9212, 215542.2255,  28618.8824,  61705.4587,  47153.4746, 599858.5344, 816532.1270,  46854.7207, 147244.7717,  30210.9031, 432829.1630,1004591.6378, 163312.4546, 143387.1507,  50924.7305,  33362.1489,3037055.7523,  54119.3974, 207980.1603, 107869.7185, 513231.6820,2535562.9663
   1981.0000, 165595.6757,  66429.1723,  81123.4391, 267729.2043, 204546.3991,  33160.7282,  55170.1086,  44048.9105, 517579.8762, 675310.0348,  41713.1769, 146576.0861,  29633.3132, 383096.7709,1085991.8141, 209566.7057, 119450.3512, 146098.0525,  33456.4684,3067784.9353,  60763.9435, 183212.5263, 101097.1442, 467011.9016,2919017.1434
   1982.0000, 161355.5314,  66186.4711,  72996.8133, 262377.7721, 212552.4444,  35803.8884,  55199.6455,  43651.1124, 496652.2938, 658323.0273,  43078.5742, 161366.7396,  31183.5038, 374357.2635,1023025.1701, 135145.2483, 116064.9669, 162847.8203,  32198.8751,3168199.7070,  62649.7542, 176745.7754,  93057.9795, 444218.1298,2980651.6547
   1983.0000, 153470.0683,  66666.3622,  71370.0066, 289638.4256, 237757.3669,  36437.7600,  53183.0088,  42772.8209, 472097.3286, 654220.5105,  39837.5000, 174022.2075,  31605.9188, 387827.9972,1132094.9086, 117801.2509, 112955.5079, 154238.8675,  28100.2350,3140396.3620,  67843.0983, 154803.6005,  86271.0471, 428440.3168,3184117.6350
   1984.0000, 171429.3159,  61518.0368,  66332.7116, 294996.8417, 236372.9147,  37445.5008,  54569.4215,  45665.0863, 446040.1895, 613087.2855,  37515.3973, 172270.1370, 170872.3448, 384547.7429,1153725.1478, 137853.0146, 111002.7233, 158532.7433,  26051.4038,2975039.8257,  75252.4178, 156108.1038,  91970.0991, 436742.4467,3599540.2130
   1985.0000, 155916.3155,  62158.6206,  55963.8754, 307051.5684, 289286.8080,  33036.5522,  59446.7999,  47173.4473, 474332.4929, 620681.2896,  38691.3666, 191734.4389, 185070.6415, 398704.6872,1243954.7681, 142256.0733, 108962.8116, 162407.8345,  27712.5826,2983270.2190,  78405.7377, 164564.6643,  98216.6202, 472924.8283,3797177.5589
   1986.0000, 159604.0230,  94637.4748, 287449.1746, 318065.5504, 277961.3527,  32021.8683,  84760.4276,  61089.4179, 704399.8432, 958220.5995,  47246.8982, 194904.9560,  47012.9494, 579442.8421,1828047.5243,  97550.7942, 171644.4368, 194164.9921,  35864.4402,3095405.8732,  86529.2934, 228041.8967, 135584.8603, 523703.1366,3939734.3969
   1987.0000, 177035.8503, 106866.0595, 343142.1786, 355485.7443, 285268.9541,  35535.8021,  95697.8898,  75614.8301, 821400.5980,1139254.3554,  53351.4671, 196893.8661,  51246.9530, 699409.8348,2122508.1936, 307322.4855, 205335.9072, 226411.9467,  43302.9255,3134762.3048, 106506.1560, 286665.0235, 161095.5048, 633238.5232,4183245.0424
   1988.0000, 221159.1938, 113443.9715, 382965.6132, 415190.7124, 320572.8503,  38992.5231, 106838.5167,  89794.6858, 874228.5778,1216256.9188,  60528.5070, 218912.7857, 291549.7434, 767804.3710,2458324.8838, 399782.3397, 220473.6659, 255509.6307,  51592.1762,3257111.7023, 133521.9165, 340536.0601, 186305.3547, 842391.4786,4404766.5143
   1989.0000, 251017.7275, 122683.7866, 392410.9280, 444407.1617, 329746.8864,  38323.4005, 106175.8477, 100859.5909, 885677.4285,1217605.2897,  65646.0218, 223536.4014, 298612.9942, 802490.1054,2421818.3595, 495164.6326, 215297.6746, 242788.2954,  54032.1996,3390110.7062, 169373.9792, 376010.6479, 193805.6332, 850155.8107,4766811.8354
   1990.0000, 246391.4762, 162011.4354, 466092.3181, 462683.6482, 308954.9737,  40369.2517, 130454.1154, 116763.9018,1113124.1846,1566210.1505,  78964.8689, 609868.8725,  90181.9576, 999484.8474,2560195.7860, 546737.8577, 259494.3523, 278757.7959,  68812.4192,3402335.7816, 207625.1673, 482980.2730, 222108.2170, 902279.4591,5086122.5834
   1991.0000, 244347.6314, 155561.0592, 487081.7142, 464782.7491, 552088.9137,  39312.5498, 125949.8336,  96483.3277,1084831.3664,1687385.3569,  85079.9125, 562610.9130,  77382.4666,1025250.1999,2914083.6217, 616126.1850, 263529.6900, 288958.9920,  78996.1148,3506596.8209, 252227.5951, 509533.1745, 222541.3383, 882564.6133,5056531.1500
   1992.0000, 260975.5958, 171501.9832, 517723.3653, 462082.6601, 645120.8920,  46183.8863, 139227.1956,  88600.6152,1261802.3430,1989986.7439,  94297.7208, 214805.9245,  86582.3902,1157986.2244,3340000.4986, 278829.5907, 297477.1694, 292492.8014,  95753.3373,3713061.5274, 277731.9345, 552835.8336, 235921.6866, 945597.5090,5555621.4448
   1993.0000, 259419.3379, 156983.5926, 528693.0988, 453606.2561, 690971.5861,  56356.2827, 142613.5968,  71554.5370,1192995.1560,1878799.7598,  90541.8803, 230590.4688,  76957.2852, 939317.8572,3749633.3242, 296758.3294, 317800.0970,  89549.0019,  73268.6854,3899049.1420, 309406.3820, 467150.1107, 173467.4479, 914770.2863,5968617.9592
   1994.0000, 274105.0373, 168956.0020, 556246.6524, 446222.3842, 759466.7588,  71978.1423, 150541.1140,  86885.5696,1232895.4997,1943415.8169,  93710.5586, 734836.6949,  80311.6256, 955190.7852,4031931.0882, 307432.2276, 324721.8297,  94678.9277,  86176.9640,4007024.5202, 359069.9795, 457283.8742, 192466.5180, 959707.9400,6237271.4005
   1995.0000, 308372.4947, 249010.3764, 238950.0951, 484719.9670, 873682.2502,  81377.4897, 182593.1696, 122053.9594,1354434.2431,2183744.3521, 108645.3742, 640749.6998, 422744.6837, 995568.4580,4494845.6090, 184090.0852, 341549.2240, 325395.3225, 112183.3588,4593384.3681, 442818.3383, 533892.5489, 252580.3612,1151442.1920,6652306.3242
   1996.0000, 334818.4860, 248941.7686, 231920.9438, 489707.5561, 986996.0449,  85751.2349, 179539.5173, 119104.6071,1342720.1709,2098959.0388, 117688.5304, 309637.3032, 544228.1511,1102614.8000,4063216.4157, 230334.3507, 328693.1337, 363681.8188, 118570.1862,4950431.7453, 491784.4832, 559431.6675, 271703.1997,1215222.2993,7092326.1525
   1997.0000, 360517.3693, 214544.3050, 209644.6447, 519713.2354,1015642.6344,  95441.6439, 207831.5140, 110395.0193,1203439.4489,1823768.8150, 108876.2275, 333119.7332, 108336.9705,1072102.1634,3816686.4224, 291963.0923, 306143.4000, 344254.6751, 111542.9999,5131825.7494, 452114.6682, 523650.5224, 245951.1187,1223302.0338,7957593.3085
   1998.0000, 335216.6451, 217505.0052, 212927.2831, 482741.6870,1885691.1944,  89249.0712, 203028.3520, 116290.5530,1216344.8663,1808288.7321, 116233.9195, 338918.0799,  88182.1857,1046139.8384,3391673.4277, 291648.0840, 293747.2357, 334484.0361, 114443.3552,4660828.9953, 267352.1200, 530572.5830, 237815.1445,1231218.7811,8145913.2780
   1999.0000, 332079.9530, 208611.5426, 210989.7269, 496775.1103,1984537.0369,  77542.4473, 156709.9233, 112690.8281,1157988.2508,1672348.2353, 118122.8518, 364976.7868, 594394.6792,1009626.3420,3736265.5729, 570345.9394, 298287.8332, 384261.5857, 124868.9776,4151587.5956, 372721.5933, 540794.9278, 236203.1689,1322044.5421,8446842.5985
   2000.0000, 331171.5814, 201869.8463, 208701.4471, 555533.6001,2098259.8930,  81796.0574, 154238.4618, 104382.9599,1096243.1571,1500623.8191, 104794.6549, 380836.5935, 635542.3577, 936204.0355,3925653.1801, 669664.6929, 280290.4150, 374112.5563, 115396.1831,4394051.9878, 443599.0335, 508971.4619, 233172.8086,1335416.7038,8961298.6976
