year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
   1972.0000,  51930.6310,  21219.9921,  34331.4592,  95092.2735, 117486.0960,   8885.4476,  19410.3704,  13233.2770, 189400.7003, 285688.3763,  15855.1045,  62432.5266,   5049.2974, 134337.0105, 314461.8700,  40593.8807,  46554.9138,  15002.4613,  10185.0260,1098531.3696,   9927.9833,  55813.5819,  39545.6794, 162419.2082,1169166.8034
   1973.0000,  68566.6426,  24530.1228,  41634.0583, 107123.1556, 136187.3427,   9629.1958,  25071.4375,  16164.7897, 230430.7145, 343278.1938,  20324.9487,  68170.8252,   5734.3382, 153412.4493, 400387.1793,  47417.8774,  57055.5227,  18491.2371,  12661.9837,1278598.6804,  12649.5287,  68718.8809,  44285.1504, 172570.7789,1257572.7971
   1974.0000,  85190.9356,  29497.0815,  48431.1151, 133884.4095, 144714.1757,  11799.9748,  27834.5740,  21568.9930, 246080.2109, 380117.1019,  22809.5345,  84194.9210,   6451.7171, 176216.4883, 438037.4626,  63234.7211,  67441.1565,  22803.1092,  15955.4405,1498999.7796,  18025.9211,  86152.7650,  54477.0136, 189021.6850,1349635.9454
   1975.0000,  89978.2115,  34153.1502,  54887.4486, 144645.1060, 167558.3124,  12377.2122,  32610.7977,  25819.8087, 307892.0148, 429241.8798,  25290.4041,  84119.5584,   7767.3842, 201575.1116, 470283.9828,  72742.9746,  78572.8995,  28180.4254,  16325.7258,1689211.5702,  20239.9511, 102964.7136,  66799.1822, 225896.1857,1463375.3140
   1976.0000,  94606.3439,  36005.2968,  60796.3226, 164170.0632, 160151.3197,  14388.6796,  35005.2820,  26826.2205, 318661.9642, 458550.4006,  27821.6387,  88292.1512,   7826.1407, 201434.6130, 542857.6656,  73763.6121,  85335.6477,  30442.3505,  17248.1903,1803763.7056,  27181.3299, 104833.3864,  69878.8128, 217151.7119,1651267.8271
   1977.0000,  94587.5432,  44014.8464,  71153.4799, 167535.4819, 175214.6620,  18304.3993,  39261.5889,  27566.5011, 352918.4575, 533475.1001,  31630.7965, 100203.4936,   9788.4561, 226659.2950, 660659.4968,  71447.6364,  98994.6799,  36056.9629,  19754.3714,2037190.7849,  35115.0977, 116275.8762,  72198.5385, 246434.1235,1845158.5669
   1978.0000, 103316.0981,  52029.0364,  87151.2698, 176164.8568, 156826.3531,  22362.7766,  46341.3371,  29757.0794, 434116.1525, 652118.0899,  36841.6086, 111248.0552,  13328.4681, 276683.3997, 923040.0986,  85786.1127, 120256.9448,  36526.2124,  21958.2144,2334847.4282,  49357.8495, 142805.2156,  77336.4979, 309575.4002,2092554.7846
   1979.0000, 123219.6943,  61984.5623, 101936.1258, 207109.5351, 187569.7907,  26061.8322,  54041.4465,  38164.4737, 522683.1376, 771922.7428,  43746.6191, 127617.1703,  16614.4766, 350004.2029, 978181.9833, 116377.3201, 139203.8603,  44084.7027,  24747.8149,2625735.9984,  63584.9760, 186442.7131,  93688.8603, 397798.0067,2381047.5490
   1980.0000, 142503.9921,  71716.1894, 107824.9574, 232849.9574, 215685.8293,  31858.7774,  56129.7868,  47334.6518, 598935.5400, 826592.4052,  47283.4866, 155444.5280,  18672.0297, 435837.5416,1061165.9341, 163005.2046, 149915.2488,  52295.2732,  31455.2703,2962780.4437,  61183.3994, 206176.4057, 107648.7742, 501062.3320,2538161.0798
   1981.0000, 162883.7954,  61724.5062,  90492.2679, 268287.0193, 211321.4175,  33961.7277,  48403.9644,  43679.0930, 521522.0916, 690423.0076,  43845.1053, 158236.6594,  17806.5131, 388874.9655,1165143.9659, 207051.5762, 127712.3798,  50519.4462,  31408.8523,3039424.9568,  70408.2929, 180497.3253,  95612.1199, 467244.8836,2890583.8261
   1982.0000, 157354.4287,  61463.9894,  83771.5426, 262756.4388, 221247.6273,  37400.0299,  47974.7830,  43732.2286, 504809.9738, 681290.5801,  44837.6891, 162629.7052,  17856.7781, 383224.5205,1103637.4485, 135875.9277, 124811.3721,  51023.2490,  30319.0339,3163705.3538,  72091.1038, 174801.5066,  87825.8897, 445314.1189,2944600.5050
   1983.0000, 147082.0152,  61060.9279,  81102.8044, 291185.3903, 248451.6709,  37622.8431,  46823.9593,  42933.8522, 479601.6620, 672970.5140,  41572.9621, 184064.5444,  17997.0232, 392797.9777,1208264.0450, 120203.3055, 121666.9065,  48896.3034,  26309.6743,3129698.0810,  78593.0962, 153501.5496,  81290.1763, 427928.2209,3155730.2625
   1984.0000, 165077.3314,  58316.7652,  78744.8336, 304150.7931, 262013.6933,  39420.5897,  47185.8231,  44169.6878, 453415.2542, 630191.0056,  39571.5474, 172516.2261,  17351.3302, 391296.2544,1269132.9491, 143732.6630, 116340.2175,  50125.9039,  23889.7890,2996165.0937,  89755.1211, 154058.8122,  84201.4037, 396235.4158,3609769.9801
   1985.0000, 150751.1988,  59810.8172,  78150.3019, 314922.3857, 318488.9348,  34627.3673,  51613.3660,  46170.6712, 483662.8068, 645727.8210,  40605.9632, 189640.4648,  19167.1087, 410248.4312,1362656.0250, 153521.4883, 117814.3129,  51856.4764,  25976.4004,3020773.5028,  93226.7664, 164360.1625,  89630.0873, 425764.2133,3803804.3690
   1986.0000, 154272.6269,  85253.6138, 112581.2826, 328725.0775, 310162.6416,  34805.6628,  72209.1771,  59827.9743, 672045.9917, 942090.0586,  49119.6507, 206834.3444,  25302.3607, 579248.0156,1984591.4764, 116852.9954, 172553.8990,  64638.5797,  35214.8241,3118112.0381, 104703.9259, 227131.4117, 121108.3444, 513960.8247,3952632.1838
   1987.0000, 175792.6015, 104225.5786, 136857.0584, 375154.2057, 315556.2705,  36991.8925,  85746.2269,  76252.0319, 799118.9077,1140246.2944,  56867.1327, 219404.1475,  29948.4436, 713487.1841,2396987.6296, 119714.6645, 210516.3972,  78447.1149,  43852.7134,3233473.3389, 135189.3104, 291177.5950, 147758.9110, 634028.4658,4261531.6959
   1988.0000, 222228.1697, 113808.4807, 145472.1822, 442602.8042, 364939.7809,  40693.4452,  89500.0753,  88988.4787, 857746.0191,1226268.0221,  63939.2163, 241197.8046,  33208.9323, 785329.2257,2890111.3988, 155277.6128, 222662.2046,  85984.8125,  52485.1701,3407479.7956, 176945.5953, 345740.1995, 167411.7607, 773249.3812,4605387.6021
   1989.0000, 253188.5892, 114555.3941, 150937.4394, 477647.7084, 395449.3330,  39268.4293,  89534.9911, 100149.5322, 873421.9756,1230493.3720,  67901.1183, 247105.0059,  34546.9528, 824238.2693,2884989.2543, 183416.1060, 221005.1677,  83777.2180,  55670.4072,3557573.7705, 218493.9802, 380000.0978, 176266.2778, 782991.3521,4958233.5178
   1990.0000, 250749.5943, 148534.5827, 187358.6948, 497633.8351, 398440.9429,  41691.6815, 113150.8565, 120170.6509,1103188.0996,1595902.7499,  80670.0176, 278581.4964,  45192.3354,1030418.1939,3059502.4619, 207783.0938, 273973.6827,  98536.6843,  71862.2512,3541011.8579, 255991.9643, 492135.8923, 209651.6045, 918793.6781,5268123.5444
   1991.0000, 248021.9615, 152813.6772, 188315.6106, 507135.7340, 415929.2801,  42045.4469, 112494.1670,  99507.7148,1092771.9875,1716997.2054,  87682.7753, 235555.0929,  46231.7180,1081042.3389,3499149.9419, 252170.9867, 280872.6870,  96034.7852,  81098.7202,3701686.6565, 304495.0494, 528089.7438, 207174.8632, 913516.0953,5351518.9972
   1992.0000, 252678.6145, 168244.5539, 202374.4107, 498555.9687, 484773.7027,  47983.9196, 123462.6760,  90660.0042,1212443.4172,1936463.0109,  93244.8935, 225640.6691,  51066.6435,1147400.0020,3785850.2474, 311213.4950, 308743.1952, 101333.8090,  96352.1118,3728095.1405, 319137.7001, 556811.2030, 213249.8850, 950469.9179,5758729.2431
   1993.0000, 249440.6733, 160270.4791, 200010.5998, 489592.5194, 523271.9109,  56915.8765, 118833.1870,  75280.7375,1127591.0695,1805034.8237,  87770.4292, 249848.6968,  45282.2464, 924436.8605,4229182.6658, 331845.8223, 304672.7491,  96359.8807,  76333.8470,3792324.3838, 348273.4590, 457904.2408, 169627.7002, 893607.9439,6124418.6797
   1994.0000, 263527.0267, 175176.8741, 212010.6013, 496680.9173, 643985.9918,  74552.1903, 129532.8084,  90528.0648,1205335.4945,1933383.2693,  92705.9977, 293986.0061,  50674.4057, 975729.3740,4597141.7877, 341641.2918, 327213.3942, 103165.8110,  85275.2655,3996020.4414, 404328.5142, 473944.4452, 190987.2933, 957357.0509,6475885.9913
   1995.0000, 294470.0848, 215369.6463, 273930.4481, 533980.5939, 800084.0813,  85246.6252, 151347.2955, 118050.1911,1397552.0024,2270446.2620, 107218.0142, 339041.6539,  60320.4961,1047015.6501,5062400.3631, 239750.9020, 372295.4261, 123868.2500, 105646.9859,4583713.5979, 495373.9532, 548582.5308, 231899.5699,1059566.5043,6745475.0389
   1996.0000, 317283.5360, 209476.0087, 266633.1458, 543574.4671, 976062.5722,  88565.1410, 148828.1033, 112428.9650,1375967.9923,2185830.1695, 113282.6439, 357341.3815,  66997.9389,1147628.8171,4529471.4480, 293157.8493, 360018.7420, 126822.9857, 107554.5182,4902158.3633, 539087.6936, 570136.2005, 243601.5082,1109378.6533,7121523.0755
   1997.0000, 335933.6253, 187345.6223, 248625.3052, 566212.0765,1049653.0663,  96478.7685, 145190.6742, 109204.8421,1250324.3772,1948312.8628, 105149.9366, 370675.6007,  72520.3781,1096070.1002,4140776.5854, 351560.5234, 345370.5894, 127484.4406, 103244.4093,5017701.5602, 485022.9284, 532248.1567, 221453.7204,1219363.9295,7667857.4077
   1998.0000, 321435.9924, 192811.7797, 258385.5561, 560691.2405,1076175.6194,  92875.3465, 148084.1177, 118523.2682,1310361.7984,1995613.1845, 111284.2249, 382101.9685,  76421.9624,1114570.9644,3771157.4816, 370051.3354, 346499.3610, 130154.4273, 107258.6584,4681383.5262, 304566.2925, 554084.9048, 224540.9132,1282381.3679,8118895.6852
   1999.0000, 321065.6430, 191281.0023, 259639.3313, 598648.0757,1161402.5407,  80317.4944, 143233.7341, 116077.2067,1287124.3881,1919695.4061, 116828.4400, 409998.8279,  87375.5005,1104606.6651,4227896.4814, 416968.7791, 356285.2614, 133129.9658, 114754.5902,4388887.5539, 421773.1136, 571320.4693, 227335.5636,1298671.0166,8680845.0012
   2000.0000, 327432.3226, 182423.0464, 252359.5151, 663020.2076,1252242.3330,  83962.9146, 135479.4002, 107496.7700,1210065.0720,1736200.8369, 105050.5091, 431662.6979,  86873.7676,1027096.2210,4519612.6049, 498342.9427, 338488.9000, 137029.6143, 106733.6423,4656037.1023, 510515.9811, 545291.8934, 222912.4944,1293109.6201,9159872.4134
   2001.0000, 295343.1826, 184431.9294, 254369.7896, 642302.2277,1446874.8200,  85046.3303, 139958.5805, 113069.5703,1226295.8169,1795238.0199, 104665.8396, 450392.6127,  92783.6919,1051242.9306,4030286.5538, 515420.6949, 346182.6538, 135093.3683, 110324.8766,4660755.9018, 469241.3570, 577906.6425, 205846.7026,1262880.3716,9290377.6408
   2002.0000, 328688.0455, 194408.9790, 283764.2746, 681477.7554,1584305.1439,  85831.5336, 149844.8612, 124855.9706,1306608.0692,1858156.8959, 116756.0053, 482519.9310, 101340.2893,1144594.4014,3831919.6579, 520781.0792, 368230.8039, 152805.9185, 117260.9808,4790922.8389, 547888.9607, 635517.1789, 223884.1340,1324087.3966,9547873.8122
   2003.0000, 384812.8452, 241852.8211, 341692.9114, 788955.3559,1899411.4697,  83839.0627, 179329.0827, 150416.4335,1588492.4554,2196082.8387, 159396.7384, 552133.0475, 128870.6165,1403809.2401,4119958.4350, 619460.2269, 470138.7927, 178699.3581, 140915.1850,5439495.5948, 592764.7931, 809607.3529, 284447.6986,1595896.0105,9979090.2390
   2004.0000, 496125.9549, 273141.1595, 397895.1956, 883304.9994,2166452.2178, 102077.6621, 205737.3219, 168804.3378,1812980.2659,2439294.2688, 187235.8953, 643218.8729, 149344.9804,1602023.0612,4425379.4818, 654691.9771, 539940.0070, 205338.9973, 166186.9222,6542878.1011, 670145.7304, 957673.6043, 323862.4039,1884873.2081,10758473.4208
   2005.0000, 553151.1955, 280899.3311, 408152.2467, 997149.5359,2499484.0184, 127427.5395, 210509.7738, 174165.7953,1906452.5619,2501520.1308, 193448.8093, 778878.4969, 157756.1524,1638484.9516,4460158.2448, 744299.0564, 574767.7860, 239607.6978, 170115.1463,7695456.1531, 792876.0328,1022756.2339, 326482.6137,1899853.3635,11422825.7164
   2006.0000, 591494.6429, 298420.4775, 422629.5273,1129091.3631,2981427.9084, 145827.3814, 232246.4472, 184846.2172,1966104.3777,2679898.9147, 214402.4206, 908557.8734, 174999.0611,1723860.6484,4229780.6566, 841454.4336, 622123.8756, 270201.9271, 173958.9206,9108873.2605, 888627.4657,1114976.9943, 352274.6711,2101008.4207,11947071.6815
   2007.0000, 683175.9530, 348713.8812, 491996.7037,1262897.6903,3905106.6889, 181241.8757, 266426.5269, 220667.7507,2293171.8627,3006247.1357, 248930.1464,1168883.2283, 209504.3585,1972794.0535,4207292.6450, 931832.2822, 695533.7480, 311368.8795, 204411.0510,10996147.8252, 937381.2887,1300267.0440, 417066.4009,2367320.9921,12412455.4650
