year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
   1972.0000,  48518.5085     +0.0000i,  20806.9200     +0.0000i,  33533.1847     +0.0000i,  88917.5377     +0.0000i, 116100.4136     +0.0000i,   8683.6660     +0.0000i,  18301.2864     +0.0000i,  12935.3660     +0.0000i, 189140.6067     +0.0000i, 287964.9730     +0.0000i,  14719.1480     +0.0000i,  57494.0874     +0.0000i,   4746.9286     +0.0000i, 131816.3335     +0.0000i, 308707.0425     +0.0000i,  37212.3126     +0.0000i,  44512.9298     +0.0000i,  14404.0114     +0.0000i,   9981.9772     +0.0000i,1073301.6766     +0.0000i,   9572.3421     +0.0000i,  55515.6371     +0.0000i,  38257.8767     +0.0000i, 164817.8874     +0.0000i,1146156.2321     +0.0000i
   1973.0000,  65980.9864     +0.0000i,  24669.5973     +0.0000i,  41810.3328     +0.0000i, 104195.4279     +0.0000i, 142793.3828     +0.0000i,   9717.0132     +0.0000i,  24688.6939     +0.0000i,  16139.0167     +0.0000i, 235994.0425     +0.0000i, 349726.0721     +0.0000i,  19819.0805     +0.0000i,  65423.9338     +0.0000i,   5657.0402     +0.0000i, 155258.2869     +0.0000i, 403077.3098     +0.0000i,  45946.8256     +0.0000i,  55955.5470     +0.0000i,  18521.9414     +0.0000i,  12828.3727     +0.0000i,1294433.0039     +0.0000i,  13123.3522     +0.0000i,  70567.3239     +0.0000i,  44255.5710     +0.0000i, 180383.9549     +0.0000i,1278850.0157     +0.0000i
   1974.0000,  79179.2859     +0.0000i,  29439.6822     +0.0000i,  48668.5561     +0.0000i, 131265.1648     +0.0000i, 153919.5098     +0.0000i,  11847.3603     +0.0000i,  27214.6955     +0.0000i,  21575.4611     +0.0000i, 249594.1868     +0.0000i, 384050.7059     +0.0000i,  21798.7806     +0.0000i,  82812.7734     +0.0000i,   6521.6120     +0.0000i, 178622.6066     +0.0000i, 440354.3998     +0.0000i,  61659.9780     +0.0000i,  65707.8905     +0.0000i,  22818.3896     +0.0000i,  16610.3513     +0.0000i,1517664.7191     +0.0000i,  19151.3962     +0.0000i,  87699.3537     +0.0000i,  55483.5956     +0.0000i, 196710.6771     +0.0000i,1382426.3487     +0.0000i
   1975.0000,  84698.1316     +0.0000i,  34240.5665     +0.0000i,  54583.7927     +0.0000i, 140409.6767     +0.0000i, 176720.8613     +0.0000i,  12226.0200     +0.0000i,  31650.3711     +0.0000i,  25932.2867     +0.0000i, 310391.0733     +0.0000i, 434049.1449     +0.0000i,  24294.0636     +0.0000i,  82597.8305     +0.0000i,   7714.8853     +0.0000i, 203431.1311     +0.0000i, 473333.6338     +0.0000i,  68042.7713     +0.0000i,  75904.7567     +0.0000i,  28264.5010     +0.0000i,  16423.8303     +0.0000i,1711820.9995     +0.0000i,  21646.7726     +0.0000i, 104023.9442     +0.0000i,  66856.8686     +0.0000i, 234907.8228     +0.0000i,1482978.4600     +0.0000i
   1976.0000,  88894.1826     +0.0000i,  35949.5552     +0.0000i,  59922.0556     +0.0000i, 157345.6101     +0.0000i, 173537.5217     +0.0000i,  14177.8299     +0.0000i,  33811.0487     +0.0000i,  26602.5008     +0.0000i, 320170.9590     +0.0000i, 464262.7420     +0.0000i,  26954.1318     +0.0000i,  86981.2547     +0.0000i,   7951.5347     +0.0000i, 203562.3362     +0.0000i, 553252.8896     +0.0000i,  68912.2981     +0.0000i,  81567.1629     +0.0000i,  30419.0803     +0.0000i,  17512.5273     +0.0000i,1826604.8557     +0.0000i,  29143.7014     +0.0000i, 105143.2755     +0.0000i,  69219.7043     +0.0000i, 225847.5725     +0.0000i,1686644.6025     +0.0000i
   1977.0000,  88469.6845     +0.0000i,  44466.7282     +0.0000i,  70615.7202     +0.0000i, 161164.8487     +0.0000i, 180745.4134     +0.0000i,  17990.0027     +0.0000i,  37623.6283     +0.0000i,  27227.9780     +0.0000i, 352888.8383     +0.0000i, 541724.0818     +0.0000i,  30554.0276     +0.0000i,  95839.2482     +0.0000i,   9882.8513     +0.0000i, 227480.3688     +0.0000i, 667616.4415     +0.0000i,  68666.7726     +0.0000i,  94824.8723     +0.0000i,  36344.7243     +0.0000i,  20159.9638     +0.0000i,2064243.1507     +0.0000i,  37982.4637     +0.0000i, 116332.2316     +0.0000i,  72199.7087     +0.0000i, 257865.4512     +0.0000i,1881632.2066     +0.0000i
   1978.0000,  94978.3728     +0.0000i,  51460.9734     +0.0000i,  86056.5469     +0.0000i, 168993.5728     +0.0000i, 166847.2499     +0.0000i,  22449.2550     +0.0000i,  44013.4931     +0.0000i,  29253.6138     +0.0000i, 434515.4863     +0.0000i, 659968.3498     +0.0000i,  34873.5229     +0.0000i, 105542.8358     +0.0000i,  13633.3292     +0.0000i, 279049.5454     +0.0000i, 929862.3834     +0.0000i,  80067.0358     +0.0000i, 114598.3255     +0.0000i,  34980.8334     +0.0000i,  22145.6077     +0.0000i,2373937.6103     +0.0000i,  53561.1968     +0.0000i, 142725.8201     +0.0000i,  76835.4399     +0.0000i, 323087.8528     +0.0000i,2110523.9363     +0.0000i
   1979.0000, 113641.8046     +0.0000i,  61252.1040     +0.0000i, 100551.9262     +0.0000i, 200812.1075     +0.0000i, 202464.6254     +0.0000i,  25825.0548     +0.0000i,  52057.7437     +0.0000i,  38167.2088     +0.0000i, 522033.7396     +0.0000i, 780370.1762     +0.0000i,  40864.6411     +0.0000i, 122466.5012     +0.0000i,  16839.6520     +0.0000i, 350915.7702     +0.0000i, 987099.3616     +0.0000i, 112329.2687     +0.0000i, 133622.6097     +0.0000i,  42656.8032     +0.0000i,  24735.0239     +0.0000i,2655933.6256     +0.0000i,  68759.9577     +0.0000i, 184377.5348     +0.0000i,  93013.3459     +0.0000i, 411322.3757     +0.0000i,2401836.4719     +0.0000i
   1980.0000, 128521.2763     +0.0000i,  71225.5872     +0.0000i, 105524.8680     +0.0000i, 223733.5009     +0.0000i, 241125.4465     +0.0000i,  31605.1904     +0.0000i,  53575.1451     +0.0000i,  47114.2018     +0.0000i, 591311.5942     +0.0000i, 823803.9376     +0.0000i,  43407.3876     +0.0000i, 149527.7064     +0.0000i,  18516.0377     +0.0000i, 437291.3140     +0.0000i,1080184.1273     +0.0000i, 153483.3308     +0.0000i, 141475.1769     +0.0000i,  50058.4729     +0.0000i,  31430.8264     +0.0000i,3005987.3216     +0.0000i,  66308.3306     +0.0000i, 202296.7764     +0.0000i, 106005.9792     +0.0000i, 508310.1576     +0.0000i,2557904.9989     +0.0000i
   1981.0000, 149168.2787     +0.0000i,  61511.3388     +0.0000i,  89703.6082     +0.0000i, 259885.0852     +0.0000i, 232218.8042     +0.0000i,  33084.9022     +0.0000i,  46504.9303     +0.0000i,  42714.1984     +0.0000i, 517168.7707     +0.0000i, 691705.0368     +0.0000i,  40393.3457     +0.0000i, 150998.8891     +0.0000i,  17957.8076     +0.0000i, 391947.1518     +0.0000i,1181906.5219     +0.0000i, 194140.3650     +0.0000i, 121056.3361     +0.0000i,  48367.0292     +0.0000i,  31653.8862     +0.0000i,3088901.2287     +0.0000i,  76943.0535     +0.0000i, 179980.1159     +0.0000i,  93901.6712     +0.0000i, 469260.5960     +0.0000i,2906694.7652     +0.0000i
