                  country,   volatility
                Australia, 0.0007889509
                  Austria, 0.0002651830
   Belgium and Luxembourg, 0.0003655867
                   Canada, 0.0002160488
                    China, 0.0063749376
                 Colombia, 0.0011347363
                  Denmark, 0.0003279747
                  Finland, 0.0003683400
                   France, 0.0002333609
                  Germany, 0.0002843190
                   Greece, 0.0003867252
                    India, 0.0008771816
                  Ireland, 0.0008955907
                    Italy, 0.0001761887
                    Japan, 0.0002770428
                   Mexico, 0.0009229935
              Netherlands, 0.0003183271
                   Norway, 0.0005931760
                 Portugal, 0.0012077855
                      ROW, 0.0017304281
              South Korea, 0.0009567457
                    Spain, 0.0001809507
                   Sweden, 0.0002206584
           United Kingdom, 0.0001949325
            United States, 0.0002800565
