year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
 1972.0000,    6.0062,    5.0382,    7.1467,    7.2433,   11.1258,    4.6574,    6.9114,    5.9902,    6.6232,    6.6908,    3.5815,    4.0920,    5.3025,    5.1237,    5.4675,    3.5580,    5.2670,    6.7143,    4.2905,    7.9683,    3.0558,    3.8731,    8.0166,    6.2120,    7.8933
 1973.0000,    7.6920,    6.0495,    8.0887,    7.6974,   12.6163,    4.6120,    9.2147,    7.0345,    7.7328,    7.8671,    4.3902,    4.2655,    6.6659,    5.7542,    6.5349,    3.9885,    6.3353,    8.1182,    5.0316,    8.7521,    3.5456,    4.6505,    9.0196,    6.5775,    8.2161
 1974.0000,    9.7262,    6.8801,    8.9702,    9.1269,   12.5567,    5.2272,   10.8887,    9.0915,    8.0081,    8.5798,    5.1075,    5.4501,    7.6901,    6.4095,    7.1342,    4.9090,    7.1052,    9.5738,    6.4733,    8.8719,    4.8211,    5.5082,   10.8428,    7.4628,    9.0594
 1975.0000,   10.1791,    7.8180,   10.2926,    9.0667,   13.6522,    5.1811,   12.5148,   10.6142,    9.6632,    9.3625,    5.4001,    5.0690,    8.9623,    7.0074,    7.1408,    5.4528,    8.0053,   11.4337,    7.0816,    8.7966,    5.2148,    6.2025,   12.3099,    8.6108,    9.4047
 1976.0000,    9.5800,    7.4354,    9.9838,    8.8972,   10.9097,    5.0511,   12.2413,   10.4746,    9.1028,    9.0303,    5.2420,    4.2467,   33.8332,    6.1581,    6.9998,    4.6135,    7.9596,   11.3954,    7.3891,    8.0395,    4.8908,    5.7026,   12.2403,    9.2160,    9.0909
 1977.0000,    8.9952,    8.2426,   11.1220,    8.4999,   10.4076,    5.6840,   12.8979,   10.3306,    9.0979,    9.7010,    5.5401,    4.1931,   36.8179,    6.3194,    7.7319,    3.9441,    8.7607,   12.9000,    6.6398,    8.0708,    5.3137,    5.9436,   12.6261,    9.8748,    9.3427
 1978.0000,    9.9877,    9.5717,   13.0292,    8.9777,   13.3590,    6.1165,   15.0522,   10.4631,   10.9463,   11.5583,    6.1504,    5.0363,   13.2244,    7.5617,   10.8360,    4.7446,   10.1225,   11.7375,    6.8837,    9.6347,    7.0063,    7.0269,   13.2370,   10.1121,   10.6257
 1979.0000,   10.5067,   10.4305,   13.7843,    9.7524,   14.7679,    6.6523,   17.1262,   12.0890,   12.4345,   12.8178,    6.7409,    5.4917,   16.0066,    8.6584,   10.5913,    5.7130,   11.2861,   12.7713,    7.3839,    9.6017,    8.0088,    8.6755,   14.9003,   12.2032,   11.2648
 1980.0000,   10.9968,   11.6223,   13.4689,   10.1773,   16.8531,    7.4418,   16.7764,   14.1274,   13.5983,   13.1973,    6.7969,    5.9087,   18.5072,   10.2724,   10.6857,    6.7438,   11.3021,   13.8277,    8.5924,   10.0518,    7.5581,    9.1846,   16.4689,   14.7496,   11.5942
 1981.0000,   12.0205,   10.6240,   10.9626,   10.8306,   13.0333,    8.3712,   14.3063,   12.5279,   11.2384,   10.6545,    5.6383,    5.3501,   15.7218,    8.6384,   10.4304,    7.5176,    8.8150,   38.9707,    8.2603,    9.3160,    7.6894,    8.0305,   14.5980,   12.2140,   12.4894
 1982.0000,   11.0029,   10.1784,    9.1053,   10.3584,   11.3238,    8.4891,   13.1929,   11.4818,    9.9892,    9.7586,    5.9441,    5.4613,   15.3975,    7.9566,    9.0896,    4.6727,    8.1909,   39.5728,    7.3434,    8.9876,    6.7702,    7.1977,   12.9530,   10.9052,   12.2961
 1983.0000,   10.0303,    9.9206,    8.8375,   10.7646,   10.6702,    8.2555,   12.1671,   10.8351,    9.1327,    9.3787,    5.5214,    5.3364,   15.2837,    7.9542,    9.5825,    4.0745,    7.8170,   37.0334,    6.3283,    8.5782,    6.2163,    6.1496,   11.8408,    9.9408,   12.2780
 1984.0000,    9.6889,    8.5135,    7.6442,    9.5811,    6.1949,    7.8410,   11.4660,   10.7720,    8.1865,    8.1831,    4.8675,    4.9253,   40.3983,    7.2553,    8.5369,    4.4143,    7.2124,   34.0123,    5.7207,    7.7252,    5.7437,    5.6644,   11.4566,    9.9973,   11.7591
 1985.0000,    8.3254,    8.2655,    6.6151,    9.2850,    4.9547,    6.5491,   11.8821,   10.6137,    8.3337,    7.8406,    4.7802,    4.8283,   41.4065,    7.1212,    8.3495,    4.5129,    6.8722,   33.2348,    5.6071,    7.3265,    5.4250,    5.7335,   11.8791,   10.1453,   11.4389
 1986.0000,    8.0238,   11.6638,   25.0319,    8.9624,    4.3545,    5.4950,   15.1140,   12.3540,   11.5645,   11.1251,    5.6214,    4.3222,   18.5669,    9.4304,   11.0511,    3.3245,   10.6830,   40.0089,    6.7030,    7.5404,    4.8591,    7.2025,   14.3955,    9.5954,   10.7795
 1987.0000,    8.0066,   12.2273,   27.8065,    9.4072,    5.3469,    5.9552,   16.3916,   14.1175,   12.5774,   12.2791,    6.2804,    3.7553,   20.5934,   10.4502,   11.5773,   13.0060,   12.2241,   44.6964,    7.3106,    7.9111,    5.0553,    8.2289,   15.7779,   10.6579,   10.6757
 1988.0000,    8.9217,   11.9757,   27.4499,    9.6999,    5.7750,    5.9361,   17.5149,   15.1121,   12.0001,   11.8599,    6.3455,    4.0439,   57.3325,   10.4983,   11.6136,   14.4593,   12.0785,   45.8707,    7.9534,    7.8140,    5.1284,    8.6506,   16.5656,   13.2367,   10.0831
 1989.0000,    9.3046,   12.6689,   26.8398,    9.6071,    5.6348,    5.4136,   16.6736,   15.4870,   11.2106,   11.1259,    6.6220,    3.7586,   56.3092,   10.2241,   10.1972,   16.3906,   11.0371,   42.0358,    7.6629,    7.4677,    5.8798,    8.7353,   16.2115,   12.5498,   10.1439
 1990.0000,    9.5704,   15.6223,   30.7275,    9.9483,    4.0279,    5.4003,   19.5034,   16.9709,   13.1297,   13.0890,    8.0004,   14.2764,   26.6442,   11.9197,    9.8556,   17.0331,   12.3695,   46.2253,    8.9427,    7.6236,    6.6191,   10.2151,   18.0650,   12.1031,   10.3628
 1991.0000,    8.8286,   13.3712,   29.4221,    9.6907,    7.8798,    4.7452,   17.6411,   15.0474,   11.9695,   12.7716,    8.0752,   13.2593,   20.0066,   11.3914,   10.2220,   17.4432,   11.4328,   44.3813,    9.5030,    6.9977,    7.0013,    9.9039,   17.7237,   11.1311,    9.7039
 1992.0000,    9.3373,   14.5048,   32.1765,    9.7933,    8.6907,    4.8503,   19.6363,   15.2190,   13.9624,   15.1420,    8.9352,    3.4274,   23.3205,   13.1201,   12.3282,    5.8502,   13.0513,   47.3798,   11.1204,    6.5888,    7.5588,   10.8636,   19.5984,   12.2606,   10.4997
 1993.0000,    8.9707,   12.4549,   32.4704,    9.2546,    9.6010,    5.7912,   19.5212,   11.7377,   13.1575,   14.0116,    8.5030,    2.7277,   20.7399,   10.6750,   13.2264,    5.8050,   13.4810,   13.0252,    8.6522,    7.3406,    7.5204,    9.0413,   14.1284,   11.8504,   10.6810
 1994.0000,    9.8563,   13.0300,   32.2237,    8.4123,    6.2600,    6.3636,   19.5177,   13.2713,   12.9480,   13.7595,    8.5167,   13.5525,   20.2973,   10.3161,   13.3353,    5.5131,   13.2573,   12.9753,    9.6481,    8.7847,    7.8566,    8.5832,   14.7031,   11.3327,   10.2485
 1995.0000,    9.9444,   18.5272,   13.5292,    8.7705,    5.9093,    6.7601,   22.2541,   17.8493,   13.3300,   14.7269,    9.5314,    7.6270,   66.9239,   10.3261,   14.6572,    3.4730,   12.4379,   46.5804,   11.6934,    8.4247,    8.7056,    9.7326,   18.9080,   14.1509,   10.9175
 1996.0000,   10.4975,   18.5107,   13.3545,    8.6692,    5.8019,    6.9360,   21.4275,   17.1206,   13.2334,   14.0678,   10.0236,    2.8408,   71.8829,   11.1416,   12.9247,    4.2720,   11.9697,   46.0746,   12.1135,    8.8076,    9.1177,    9.8285,   20.1758,   14.7063,   11.1042
 1997.0000,   10.2996,   16.4002,   12.0599,    9.4434,    5.3852,    7.8505,   26.5794,   15.1237,   11.8381,   12.3533,    9.4542,    2.9822,   20.9533,   11.1086,   12.6594,    5.5686,   10.9859,   43.3151,   11.4691,    9.1448,    8.4154,    9.3642,   18.1868,   13.1659,   12.4665
 1998.0000,    8.5456,   15.2551,   11.1748,    8.0534,   13.1907,    7.0606,   23.9171,   13.9533,   10.7682,   11.1406,    9.3758,    2.6908,   15.6644,    9.9153,   10.8757,    5.1212,    9.4470,   40.0336,   10.7024,    7.9599,    4.8904,    8.6126,   15.7802,   11.6930,   11.2663
 1999.0000,    8.4619,   13.1480,   10.0573,    6.9728,   11.6917,    5.9194,   15.8049,   12.7196,    9.0832,    9.2876,    8.3320,    2.6211,   73.9462,    8.6960,   10.9184,   11.0114,    8.5550,   39.9135,   10.5393,    6.0362,    6.1608,    7.6794,   13.9938,   12.6186,    9.6076
 2000.0000,    7.1519,   12.1562,    9.3337,    6.7533,   10.6254,    4.6084,   14.3970,   11.0108,    8.1175,    7.9176,    6.9147,    2.5643,   68.2657,    7.6248,   10.7323,   11.6789,    7.4904,   32.9544,    9.2834,    5.5858,    6.3936,    6.7107,   13.0434,   11.9284,    9.4876
 2001.0000,    6.2495,   10.6186,    8.9463,    6.2204,    8.1443,    4.8137,   19.0582,   11.1159,    7.6648,    7.6544,    6.3069,    2.4779,   69.0742,    7.3772,    9.4864,   11.3756,    7.2562,   32.6260,    9.2886,    5.2519,    5.2220,    6.7197,   11.7055,   11.1212,    9.2675
 2002.0000,    7.0845,   13.4393,    9.9733,    6.5003,    7.0698,    4.7380,   18.3635,   12.1215,    7.9738,    7.7113,    6.6897,    2.3682,   75.5702,    7.8886,    8.7826,   10.7111,    7.3601,   39.3071,    9.4722,    5.2036,    5.6431,    6.9617,   12.3550,   11.1232,    9.2923
 2003.0000,   10.2262,   18.3853,   13.5819,    8.9927,   19.7306   +7.4331i,    5.2699,   28.1683,   17.9959,   11.5962,   11.4279,    9.9477,    3.0590,  107.2839,   12.0940,   11.7593,    6.5476,   11.1879,   48.7428,   12.7173,    6.5219,    6.4657,   10.2815,   18.4885,   15.6013,   11.7512
 2004.0000,   10.4207,   16.6895,   14.1446,   17.1215,   20.3753   +7.3818i,    5.4900,   26.5847,   17.6775,   11.6384,   10.7784,    9.9943,    3.0699,  126.3496,   12.3398,   10.6935,    8.5620,   10.9263,   46.6935,   11.6679,    6.6666,   15.7713,   11.0766,   18.1397,   16.7543,   10.2414
 2005.0000,    9.5977,   18.3370,   15.4734,   16.0356,   19.9092   +7.0423i,    5.8048,   27.4074,   17.0345,   11.6658,   11.5528,    9.0534,    3.0249,  119.7205,   12.0281,    8.8489,    8.9733,   30.8572,   47.4830,   38.4609,    6.4946,    5.7337,   10.5026,   17.5893,   15.1980,    9.1250
 2006.0000,   10.3531,   20.5536,   16.2687,   18.1358,   23.9082   +8.6458i,    6.5563,   31.9697,   19.2263,   12.6497,   12.8739,   10.2212,    3.5657,  137.9487,   13.4130,    9.6661,    5.8101,   33.2803,   51.4192,   23.7046,    7.5113,    6.1190,   11.7643,   19.1717,   17.0797,   10.1384
 2007.0000,   10.7005,   21.1718,   16.1606,   10.5396,   25.1204   +9.0403i,    7.4974,   32.5114,   17.3355,   12.8834,   12.5531,   11.1105,    3.5735,  121.5760,   13.5069,    8.3581,   27.2907,   32.8427,   59.5832,   24.9082,    7.7517,   20.0802,   12.3650,   19.2886,   16.7124,   10.5987
