year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
   1972.0000,  48518.5085     +0.0000i,  20806.9200     +0.0000i,  33533.1847     +0.0000i,  88917.5377     +0.0000i, 116100.4136     +0.0000i,   8683.6660     +0.0000i,  18301.2864     +0.0000i,  12935.3660     +0.0000i, 189140.6067     +0.0000i, 287964.9730     +0.0000i,  14719.1480     +0.0000i,  57494.0874     +0.0000i,   4746.9286     +0.0000i, 131816.3335     +0.0000i, 308707.0425     +0.0000i,  37212.3126     +0.0000i,  44512.9298     +0.0000i,  14404.0114     +0.0000i,   9981.9772     +0.0000i,1073301.6766     +0.0000i,   9572.3421     +0.0000i,  55515.6371     +0.0000i,  38257.8767     +0.0000i, 164817.8874     +0.0000i,1146156.2321     +0.0000i
   1973.0000,  65404.8805     +0.0000i,  24590.3181     +0.0000i,  41302.9249     +0.0000i, 104645.5770     +0.0000i, 147226.0093     +0.0000i,   9358.5504     +0.0000i,  27282.3095     +0.0000i,  16417.1962     +0.0000i, 237380.7272     +0.0000i, 350460.0625     +0.0000i,  19586.9716     +0.0000i,  60198.0580     +0.0000i,   8691.7047     +0.0000i, 156301.6580     +0.0000i, 402202.8605     +0.0000i,  44733.6150     +0.0000i,  55893.3914     +0.0000i,  18773.3901     +0.0000i,  12886.5314     +0.0000i,1303963.9055     +0.0000i,  12353.7911     +0.0000i,  71754.7754     +0.0000i,  44296.0833     +0.0000i, 182787.7007     +0.0000i,1278113.8889     +0.0000i
   1974.0000,  78714.6026     +0.0000i,  28635.1615     +0.0000i,  46610.5948     +0.0000i, 133215.0109     +0.0000i, 153372.3407     +0.0000i,  10914.3931     +0.0000i,  32483.8497     +0.0000i,  22135.8464     +0.0000i, 249489.8688     +0.0000i, 381907.6498     +0.0000i,  22078.0511     +0.0000i,  80136.2913     +0.0000i,   9644.5426     +0.0000i, 180312.3164     +0.0000i, 422891.4481     +0.0000i,  59625.2027     +0.0000i,  64736.5048     +0.0000i,  23516.7647     +0.0000i,  16656.9890     +0.0000i,1550418.0783     +0.0000i,  17475.1565     +0.0000i,  89721.8368     +0.0000i,  56470.7449     +0.0000i, 201032.5071     +0.0000i,1387271.0304     +0.0000i
   1975.0000,  85773.0356     +0.0000i,  33243.8227     +0.0000i,  51380.5751     +0.0000i, 140894.2965     +0.0000i, 182966.2277     +0.0000i,  11532.2778     +0.0000i,  37075.9186     +0.0000i,  26688.2876     +0.0000i, 307128.4490     +0.0000i, 426054.9917     +0.0000i,  24315.7752     +0.0000i,  78125.5960     +0.0000i,  11388.5503     +0.0000i, 203284.0817     +0.0000i, 443598.7871     +0.0000i,  72346.8812     +0.0000i,  73915.6579     +0.0000i,  29720.1726     +0.0000i,  16994.5812     +0.0000i,1768989.9167     +0.0000i,  20208.6584     +0.0000i, 105803.7907     +0.0000i,  68244.3916     +0.0000i, 240882.2585     +0.0000i,1471932.7188     +0.0000i
   1976.0000,  89034.7116     +0.0000i,  35085.6695     +0.0000i,  57793.0950     +0.0000i, 156171.7419     +0.0000i, 158224.0911     +0.0000i,  13155.7493     +0.0000i,  41076.7298     +0.0000i,  28905.3951     +0.0000i, 320686.6757     +0.0000i, 461613.1712     +0.0000i,  27201.3377     +0.0000i,  78880.3489     +0.0000i, 137491.7309     +0.0000i, 201622.8135     +0.0000i, 483593.0989     +0.0000i,  69105.4897     +0.0000i,  83588.6324     +0.0000i,  33811.6218     +0.0000i,  21044.6050     +0.0000i,1844826.8080     +0.0000i,  23541.9621     +0.0000i, 108244.3159     +0.0000i,  75207.3965     +0.0000i, 293977.7098     +0.0000i,1603214.4462     +0.0000i
   1977.0000,  89028.5208     +0.0000i,  43586.1301     +0.0000i,  67579.5173     +0.0000i, 160351.4395     +0.0000i, 174498.8520     +0.0000i,  16267.6441     +0.0000i,  45536.2418     +0.0000i,  29370.8708     +0.0000i, 350703.7619     +0.0000i, 534663.2597     +0.0000i,  30552.3402     +0.0000i,  87816.0529     +0.0000i, 157245.0410     +0.0000i, 222488.3627     +0.0000i, 580525.7811     +0.0000i,  62718.1342     +0.0000i,  95363.2688     +0.0000i,  41090.9306     +0.0000i,  24128.4913     +0.0000i,2074498.1077     +0.0000i,  29898.4187     +0.0000i, 120768.3868     +0.0000i,  77945.0993     +0.0000i, 336246.0066     +0.0000i,1797786.9287     +0.0000i
   1978.0000,  97728.6033     +0.0000i,  50311.6157     +0.0000i,  80079.4833     +0.0000i, 167860.0746     +0.0000i, 176366.3671     +0.0000i,  18761.5349     +0.0000i,  53257.7071     +0.0000i,  29299.8247     +0.0000i, 433350.8348     +0.0000i, 648779.3568     +0.0000i,  34870.5437     +0.0000i, 102058.2486     +0.0000i,  26438.2707     +0.0000i, 272815.7154     +0.0000i, 857966.4880     +0.0000i,  79898.2120     +0.0000i, 109759.2331     +0.0000i,  36192.8533     +0.0000i,  25209.0191     +0.0000i,2478745.6805     +0.0000i,  45282.3899     +0.0000i, 146702.5161     +0.0000i,  78240.4928     +0.0000i, 340828.5925     +0.0000i,2151113.8797     +0.0000i
   1979.0000, 113647.0775     +0.0000i,  58565.1830     +0.0000i,  88712.7996     +0.0000i, 200371.8671     +0.0000i, 199859.0227     +0.0000i,  21718.1290     +0.0000i,  64349.9961     +0.0000i,  37515.5022     +0.0000i, 516735.8692     +0.0000i, 760110.4946     +0.0000i,  40170.0356     +0.0000i, 115242.3321     +0.0000i,  34301.2387     +0.0000i, 342040.7638     +0.0000i, 899118.2695     +0.0000i, 108334.9364     +0.0000i, 125486.3951     +0.0000i,  43247.1322     +0.0000i,  28566.9600     +0.0000i,2746357.2108     +0.0000i,  57087.8026     +0.0000i, 186094.3823     +0.0000i,  93581.5540     +0.0000i, 429402.7068     +0.0000i,2438139.2985     +0.0000i
   1980.0000, 130296.2051     +0.0000i,  69153.1672     +0.0000i,  90004.0506     +0.0000i, 226192.0279     +0.0000i, 239961.5857     +0.0000i,  26168.4933     +0.0000i,  64587.5061     +0.0000i,  46957.0202     +0.0000i, 593925.9719     +0.0000i, 808159.8101     +0.0000i,  42865.1423     +0.0000i, 133592.8505     +0.0000i,  40195.8456     +0.0000i, 432903.7191     +0.0000i, 975104.3056     +0.0000i, 154397.2104     +0.0000i, 130951.1430     +0.0000i,  51120.0049     +0.0000i,  35446.9897     +0.0000i,3144075.9789     +0.0000i,  53670.3201     +0.0000i, 205894.8887     +0.0000i, 107097.9353     +0.0000i, 536532.7012     +0.0000i,2556074.7121     +0.0000i
   1981.0000, 151777.1969     +0.0000i,  72602.7273     +0.0000i,  74871.3189     +0.0000i, 257754.8168     +0.0000i, 214399.9201     +0.0000i,  31496.9954     +0.0000i,  63094.1677     +0.0000i,  45323.2100     +0.0000i, 508817.0084     +0.0000i, 670202.1542     +0.0000i,  37092.2398     +0.0000i, 130458.9102     +0.0000i,  41520.2989     +0.0000i, 382274.0630     +0.0000i,1033348.8907     +0.0000i, 196035.6445     +0.0000i, 109361.7512     +0.0000i, 260591.6739     +0.0000i,  36245.9071     +0.0000i,3065050.2427     +0.0000i,  59365.3217     +0.0000i, 184087.9340     +0.0000i, 114063.1907     +0.0000i, 483279.6067     +0.0000i,2950013.0444     +0.0000i
