                  country,   volatility
                Australia, 0.0014266117
                  Austria, 0.0011072123
   Belgium and Luxembourg, 0.0069447362
                   Canada, 0.0014051340
                    China, 0.0998326367
                 Colombia, 0.0012892184
                  Denmark, 0.0010913227
                  Finland, 0.0011031117
                   France, 0.0004669837
                  Germany, 0.0004605022
                   Greece, 0.0006300182
                    India, 0.0038539163
                  Ireland, 0.0587424084
                    Italy, 0.0003011124
                    Japan, 0.0004089928
                   Mexico, 0.0054849809
              Netherlands, 0.0029173506
                   Norway, 0.0105856135
                 Portugal, 0.0040337192
                      ROW, 0.0018746888
              South Korea, 0.0013068844
                    Spain, 0.0004289145
                   Sweden, 0.0014710095
           United Kingdom, 0.0008288775
            United States, 0.0005196480
