year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
 1972.0000,    6.0152,    5.0458,    7.1574,    7.2541,   11.1425,    4.6643,    6.9217,    5.9992,    6.6332,    6.7009,    3.5868,    4.0982,    5.3104,    5.1314,    5.4757,    3.5634,    5.2749,    6.7244,    4.2969,    7.9802,    3.0603,    3.8789,    8.0286,    6.2213,    7.9051
 1973.0000,    7.9068,    6.2184,    8.3145,    7.9123,   12.9685,    4.7407,    9.4720,    7.2309,    7.9487,    8.0868,    4.5128,    4.3846,    6.8520,    5.9148,    6.7174,    4.0999,    6.5122,    8.3448,    5.1721,    8.9964,    3.6446,    4.7803,    9.2714,    6.7611,    8.4455
 1974.0000,    9.7019,    6.8631,    8.9480,    9.1041,   12.5255,    5.2141,   10.8616,    9.0689,    7.9882,    8.5586,    5.0949,    5.4366,    7.6708,    6.3936,    7.1165,    4.8968,    7.0876,    9.5500,    6.4572,    8.8498,    4.8091,    5.4945,   10.8158,    7.4442,    9.0369
 1975.0000,    9.9706,    7.6579,   10.0818,    8.8810,   13.3726,    5.0750,   12.2585,   10.3968,    9.4653,    9.1708,    5.2895,    4.9652,    8.7787,    6.8639,    6.9945,    5.3412,    7.8414,   11.1995,    6.9366,    8.6164,    5.1080,    6.0754,   12.0578,    8.4344,    9.2120
 1976.0000,    9.5542,    7.4154,    9.9569,    8.8732,   10.8803,    5.0375,   12.2084,   10.4464,    9.0783,    9.0060,    5.2279,    4.2353,   33.7421,    6.1416,    6.9810,    4.6011,    7.9382,   11.3647,    7.3692,    8.0178,    4.8776,    5.6873,   12.2074,    9.1912,    9.0664
 1977.0000,    9.1055,    8.3439,   11.2584,    8.6039,   10.5348,    5.7532,   13.0558,   10.4567,    9.2092,    9.8199,    5.6081,    4.2444,   37.2603,    6.3966,    7.8264,    3.9921,    8.8684,   13.0581,    6.7214,    8.1696,    5.3789,    6.0163,   12.7809,    9.9960,    9.4572
 1978.0000,   10.0582,    9.6393,   13.1212,    9.0410,   13.4533,    6.1597,   15.1585,   10.5370,   11.0236,   11.6399,    6.1938,    5.0719,   13.3178,    7.6151,   10.9125,    4.7781,   10.1940,   11.8204,    6.9323,    9.7027,    7.0558,    7.0765,   13.3304,   10.1834,   10.7007
 1979.0000,   10.5507,   10.4743,   13.8421,    9.7934,   14.8299,    6.6802,   17.1980,   12.1397,   12.4867,   12.8716,    6.7691,    5.5147,   16.0738,    8.6948,   10.6357,    5.7370,   11.3334,   12.8248,    7.4149,    9.6420,    8.0423,    8.7119,   14.9628,   12.2544,   11.3121
 1980.0000,   11.0120,   11.6383,   13.4876,   10.1914,   16.8764,    7.4521,   16.7996,   14.1470,   13.6171,   13.2155,    6.8062,    5.9168,   18.5328,   10.2866,   10.7005,    6.7531,   11.3178,   13.8468,    8.6043,   10.0657,    7.5685,    9.1973,   16.4917,   14.7700,   11.6102
 1981.0000,   11.9467,   10.5588,   10.8953,   10.7641,   12.9533,    8.3198,   14.2185,   12.4510,   11.1694,   10.5891,    5.6037,    5.3173,   15.6253,    8.5854,   10.3664,    7.4715,    8.7609,   38.7315,    8.2096,    9.2588,    7.6422,    7.9812,   14.5084,   12.1390,   12.4128
 1982.0000,   10.9414,   10.1215,    9.0544,   10.3005,   11.2605,    8.4416,   13.1192,   11.4177,    9.9334,    9.7040,    5.9109,    5.4308,   15.3114,    7.9121,    9.0388,    4.6466,    8.1452,   39.3516,    7.3024,    8.9373,    6.7323,    7.1575,   12.8805,   10.8442,   12.2274
