year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
   1972.0000,  48518.5085     +0.0000i,  20806.9200     +0.0000i,  33533.1847     +0.0000i,  88917.5377     +0.0000i, 116100.4136     +0.0000i,   8683.6660     +0.0000i,  18301.2864     +0.0000i,  12935.3660     +0.0000i, 189140.6067     +0.0000i, 287964.9730     +0.0000i,  14719.1480     +0.0000i,  57494.0874     +0.0000i,   4746.9286     +0.0000i, 131816.3335     +0.0000i, 308707.0425     +0.0000i,  37212.3126     +0.0000i,  44512.9298     +0.0000i,  14404.0114     +0.0000i,   9981.9772     +0.0000i,1073301.6766     +0.0000i,   9572.3421     +0.0000i,  55515.6371     +0.0000i,  38257.8767     +0.0000i, 164817.8874     +0.0000i,1146156.2321     +0.0000i
   1973.0000,  65404.8560     +0.0000i,  24590.3752     +0.0000i,  41302.9855     +0.0000i, 104645.4937     +0.0000i, 147225.4808     +0.0000i,   9358.5547     +0.0000i,  27282.3520     +0.0000i,  16417.2293     +0.0000i, 237381.1580     +0.0000i, 350461.0270     +0.0000i,  19586.9461     +0.0000i,  60197.9882     +0.0000i,   8691.7076     +0.0000i, 156301.8624     +0.0000i, 402202.9224     +0.0000i,  44733.2991     +0.0000i,  55893.4756     +0.0000i,  18773.3949     +0.0000i,  12886.5323     +0.0000i,1303964.2451     +0.0000i,  12353.7789     +0.0000i,  71754.7378     +0.0000i,  44296.1719     +0.0000i, 182787.8504     +0.0000i,1278112.4560     +0.0000i
   1974.0000,  78714.0292     +0.0000i,  28635.4598     +0.0000i,  46610.8217     +0.0000i, 133214.4005     +0.0000i, 153372.1840     +0.0000i,  10914.2852     +0.0000i,  32483.9138     +0.0000i,  22135.8600     +0.0000i, 249490.0803     +0.0000i, 381909.0340     +0.0000i,  22078.3011     +0.0000i,  80136.3624     +0.0000i,   9644.3115     +0.0000i, 180312.4780     +0.0000i, 422891.5849     +0.0000i,  59625.0119     +0.0000i,  64736.6769     +0.0000i,  23516.8448     +0.0000i,  16656.9087     +0.0000i,1550414.8005     +0.0000i,  17474.9997     +0.0000i,  89721.6628     +0.0000i,  56470.7624     +0.0000i, 201032.2181     +0.0000i,1387273.7951     +0.0000i
   1975.0000,  85773.0357     +0.0000i,  33243.8234     +0.0000i,  51380.5729     +0.0000i, 140894.3000     +0.0000i, 182966.2245     +0.0000i,  11532.2783     +0.0000i,  37075.9184     +0.0000i,  26688.2878     +0.0000i, 307128.4553     +0.0000i, 426054.9607     +0.0000i,  24315.7767     +0.0000i,  78125.5944     +0.0000i,  11388.5519     +0.0000i, 203284.0835     +0.0000i, 443598.7997     +0.0000i,  72346.8798     +0.0000i,  73915.6541     +0.0000i,  29720.1724     +0.0000i,  16994.5809     +0.0000i,1768989.9180     +0.0000i,  20208.6593     +0.0000i, 105803.7899     +0.0000i,  68244.3927     +0.0000i, 240882.2695     +0.0000i,1471932.7147     +0.0000i
   1976.0000,  89034.7115     +0.0000i,  35085.6700     +0.0000i,  57793.0941     +0.0000i, 156171.7463     +0.0000i, 158224.0908     +0.0000i,  13155.7500     +0.0000i,  41076.7303     +0.0000i,  28905.3956     +0.0000i, 320686.6831     +0.0000i, 461613.1550     +0.0000i,  27201.3390     +0.0000i,  78880.3493     +0.0000i, 137491.6913     +0.0000i, 201622.8163     +0.0000i, 483593.1140     +0.0000i,  69105.4905     +0.0000i,  83588.6309     +0.0000i,  33811.6223     +0.0000i,  21044.6050     +0.0000i,1844826.8126     +0.0000i,  23541.9633     +0.0000i, 108244.3158     +0.0000i,  75207.3981     +0.0000i, 293977.7220     +0.0000i,1603214.4505     +0.0000i
   1977.0000,  89091.2751     +0.0000i,  43617.5103     +0.0000i,  67627.0033     +0.0000i, 160460.9302     +0.0000i, 174617.0825     +0.0000i,  16278.3204     +0.0000i,  45567.4548     +0.0000i,  29390.3549     +0.0000i, 350943.2974     +0.0000i, 535033.7835     +0.0000i,  30573.9187     +0.0000i,  87875.8154     +0.0000i, 157275.9053     +0.0000i, 222637.8802     +0.0000i, 580919.2691     +0.0000i,  62758.2024     +0.0000i,  95431.7645     +0.0000i,  41119.5564     +0.0000i,  24145.7986     +0.0000i,2075931.3479     +0.0000i,  29919.3767     +0.0000i, 120850.6503     +0.0000i,  77999.9487     +0.0000i, 336483.2586     +0.0000i,1799034.9461     +0.0000i
   1978.0000,  97728.8925     +0.0000i,  50311.7709     +0.0000i,  80079.7203     +0.0000i, 167860.5643     +0.0000i, 176366.8721     +0.0000i,  18761.5885     +0.0000i,  53257.8622     +0.0000i,  29299.9087     +0.0000i, 433352.1012     +0.0000i, 648781.2729     +0.0000i,  34870.6507     +0.0000i, 102058.5367     +0.0000i,  26438.3454     +0.0000i, 272816.4924     +0.0000i, 857968.9484     +0.0000i,  79898.4321     +0.0000i, 109759.5655     +0.0000i,  36192.9625     +0.0000i,  25209.0967     +0.0000i,2478752.9099     +0.0000i,  45282.5230     +0.0000i, 146702.9392     +0.0000i,  78240.7289     +0.0000i, 340829.6520     +0.0000i,2151120.1750     +0.0000i
   1979.0000, 113647.0567     +0.0000i,  58565.2077     +0.0000i,  88712.8025     +0.0000i, 200371.8927     +0.0000i, 199858.8407     +0.0000i,  21718.1727     +0.0000i,  64350.0052     +0.0000i,  37515.4958     +0.0000i, 516735.9886     +0.0000i, 760110.7678     +0.0000i,  40170.0215     +0.0000i, 115242.4962     +0.0000i,  34301.2934     +0.0000i, 342040.7405     +0.0000i, 899117.1851     +0.0000i, 108335.0710     +0.0000i, 125486.4244     +0.0000i,  43247.0781     +0.0000i,  28566.9304     +0.0000i,2746358.0766     +0.0000i,  57087.8180     +0.0000i, 186094.3816     +0.0000i,  93581.5827     +0.0000i, 429402.7702     +0.0000i,2438140.1605     +0.0000i
   1980.0000, 130296.2379     +0.0000i,  69153.1357     +0.0000i,  90004.0397     +0.0000i, 226192.1441     +0.0000i, 239961.8712     +0.0000i,  26168.4449     +0.0000i,  64587.4752     +0.0000i,  46956.9715     +0.0000i, 593925.6691     +0.0000i, 808159.1854     +0.0000i,  42865.1265     +0.0000i, 133592.7444     +0.0000i,  40195.8752     +0.0000i, 432903.3327     +0.0000i, 975105.2086     +0.0000i, 154397.3141     +0.0000i, 130951.0875     +0.0000i,  51119.8956     +0.0000i,  35447.0138     +0.0000i,3144075.3452     +0.0000i,  53670.4858     +0.0000i, 205894.7685     +0.0000i, 107097.8851     +0.0000i, 536532.5314     +0.0000i,2556075.8467     +0.0000i
   1981.0000, 151777.1940     +0.0000i,  72602.6797     +0.0000i,  74871.3165     +0.0000i, 257754.8119     +0.0000i, 214399.8771     +0.0000i,  31497.0018     +0.0000i,  63094.1463     +0.0000i,  45323.2138     +0.0000i, 508817.0094     +0.0000i, 670202.2254     +0.0000i,  37092.2278     +0.0000i, 130458.9144     +0.0000i,  41520.2972     +0.0000i, 382274.0911     +0.0000i,1033348.8864     +0.0000i, 196035.6595     +0.0000i, 109361.7453     +0.0000i, 260591.6724     +0.0000i,  36245.8990     +0.0000i,3065050.4951     +0.0000i,  59365.3124     +0.0000i, 184087.9249     +0.0000i, 114063.1298     +0.0000i, 483279.4784     +0.0000i,2950013.0310     +0.0000i
