                  country,   volatility
                Australia, 0.0015071531
                  Austria, 0.0009941061
   Belgium and Luxembourg, 0.0065997965
                   Canada, 0.0013531117
                    China, 0.1001325566
                 Colombia, 0.0010783746
                  Denmark, 0.0008332288
                  Finland, 0.0011052845
                   France, 0.0003992652
                  Germany, 0.0003875760
                   Greece, 0.0005738280
                    India, 0.0036780662
                  Ireland, 0.0578493450
                    Italy, 0.0003046543
                    Japan, 0.0002978501
                   Mexico, 0.0055685585
              Netherlands, 0.0031184840
                   Norway, 0.0101325104
                 Portugal, 0.0038654016
                      ROW, 0.0019726054
              South Korea, 0.0010181700
                    Spain, 0.0004595746
                   Sweden, 0.0014055358
           United Kingdom, 0.0007960992
            United States, 0.0004454065
