year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
 1972.0000,    6.0152,    5.0458,    7.1574,    7.2541,   11.1425,    4.6643,    6.9217,    5.9992,    6.6332,    6.7009,    3.5868,    4.0982,    5.3104,    5.1314,    5.4757,    3.5634,    5.2749,    6.7244,    4.2969,    7.9802,    3.0603,    3.8789,    8.0286,    6.2213,    7.9051
 1973.0000,    7.9275,    6.1516,    8.3211,    7.8692,   12.6046,    4.9388,    8.9163,    7.0882,    7.8498,    7.9906,    4.5656,    4.7455,    5.5627,    5.8391,    6.7000,    4.1305,    6.4698,    8.1971,    5.1103,    8.8891,    3.6973,    4.6895,    9.2004,    6.6311,    8.4225
 1974.0000,    9.5903,    6.8828,    9.0605,    8.9357,   12.5388,    5.5486,    9.6642,    8.7227,    7.8408,    8.4643,    5.0235,    5.5900,    6.0472,    6.2789,    7.3130,    4.9225,    7.0573,    9.1710,    6.2969,    8.5718,    4.9172,    5.3232,   10.4463,    7.1747,    8.9419
 1975.0000,    9.7659,    7.6328,   10.2670,    8.8229,   12.9185,    5.2916,   10.9690,   10.0587,    9.4311,    9.2096,    5.2511,    5.2025,    6.7766,    6.8319,    7.4238,    4.9857,    7.8669,   10.6999,    6.7044,    8.2423,    5.1995,    5.9341,   11.6544,    8.1701,    9.2348
 1976.0000,    9.8920,    7.4222,   10.2462,    9.3347,   12.2646,    5.5709,   10.9202,   10.0905,    9.2320,    9.2013,    5.3921,    4.8577,    6.4845,    6.3615,    8.1671,    4.7361,    7.8715,   10.7799,    6.7712,    8.0773,    5.9053,    5.7109,   11.6240,    7.5617,    9.8122
 1977.0000,    9.3843,    8.4470,   11.6586,    9.0296,   11.1993,    6.5571,   11.5672,   10.0675,    9.4257,   10.0849,    5.8053,    4.7940,    7.0384,    6.6911,    9.2092,    4.4726,    8.7959,   12.1850,    6.2224,    8.2663,    6.6397,    5.9946,   12.2036,    8.1710,   10.1848
 1978.0000,    9.6635,    9.3411,   13.1735,    8.8609,   12.7537,    7.1870,   12.6305,   10.1908,   10.7657,   11.4817,    6.0607,    5.0771,    8.2531,    7.6165,   11.7067,    4.6350,    9.9488,   11.2228,    6.2814,    9.1288,    7.8769,    6.8343,   12.6458,    9.4783,   10.3492
 1979.0000,   10.4156,   10.2058,   14.3101,    9.6016,   15.1358,    7.7957,   14.3500,   11.9216,   12.2763,   12.8166,    6.7342,    5.6754,    9.5968,    8.7324,   11.5663,    5.6856,   11.2061,   12.3552,    6.6421,    9.1902,    9.2131,    8.5839,   14.3103,   11.5072,   11.0239
 1980.0000,   10.7424,   11.0844,   14.0319,    9.9238,   16.9826,    8.6284,   14.0606,   13.5686,   13.1361,   12.9731,    6.7281,    6.3947,   10.4874,   10.1801,   11.6898,    6.4330,   11.2318,   12.9187,    7.7616,    9.4537,    8.8098,    8.9210,   15.6048,   13.7020,   11.4628
 1981.0000,   11.6748,    9.0185,   11.6207,   10.6743,   14.0558,    8.6230,   11.8801,   11.5526,   11.0162,   10.5324,    5.8861,    5.9377,    9.6200,    8.6388,   11.7199,    7.1531,    9.1699,   11.6628,    7.3464,    9.2541,    9.2002,    7.7423,   13.3464,   12.1473,   12.0878
