year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
   1972.0000,  48518.5085     +0.0000i,  20806.9200     +0.0000i,  33533.1847     +0.0000i,  88917.5377     +0.0000i, 116100.4136     +0.0000i,   8683.6660     +0.0000i,  18301.2864     +0.0000i,  12935.3660     +0.0000i, 189140.6067     +0.0000i, 287964.9730     +0.0000i,  14719.1480     +0.0000i,  57494.0874     +0.0000i,   4746.9286     +0.0000i, 131816.3335     +0.0000i, 308707.0425     +0.0000i,  37212.3126     +0.0000i,  44512.9298     +0.0000i,  14404.0114     +0.0000i,   9981.9772     +0.0000i,1073301.6766     +0.0000i,   9572.3421     +0.0000i,  55515.6371     +0.0000i,  38257.8767     +0.0000i, 164817.8874     +0.0000i,1146156.2321     +0.0000i
   1973.0000,  65977.4548     +0.0000i,  24670.2535     +0.0000i,  41810.4742     +0.0000i, 104195.0427     +0.0000i, 142791.2943     +0.0000i,   9717.1463     +0.0000i,  24689.7905     +0.0000i,  16138.8824     +0.0000i, 236000.9546     +0.0000i, 349723.2120     +0.0000i,  19819.1089     +0.0000i,  65426.3947     +0.0000i,   5655.4030     +0.0000i, 155265.2123     +0.0000i, 403089.0874     +0.0000i,  45945.8335     +0.0000i,  55955.2134     +0.0000i,  18521.5824     +0.0000i,  12828.3329     +0.0000i,1294414.5597     +0.0000i,  13122.4256     +0.0000i,  70567.5265     +0.0000i,  44254.3571     +0.0000i, 180389.7863     +0.0000i,1278846.7964     +0.0000i
   1974.0000,  79179.2625     +0.0000i,  29439.6814     +0.0000i,  48668.5546     +0.0000i, 131265.1550     +0.0000i, 153919.5031     +0.0000i,  11847.3612     +0.0000i,  27214.6959     +0.0000i,  21575.4601     +0.0000i, 249594.1845     +0.0000i, 384050.6916     +0.0000i,  21798.7801     +0.0000i,  82812.7814     +0.0000i,   6521.6118     +0.0000i, 178622.6391     +0.0000i, 440354.3872     +0.0000i,  61659.9773     +0.0000i,  65707.8887     +0.0000i,  22818.3882     +0.0000i,  16610.3514     +0.0000i,1517664.8091     +0.0000i,  19151.3943     +0.0000i,  87699.3581     +0.0000i,  55483.5912     +0.0000i, 196710.6765     +0.0000i,1382426.2111     +0.0000i
   1975.0000,  84698.1588     +0.0000i,  34240.5575     +0.0000i,  54583.7977     +0.0000i, 140409.6696     +0.0000i, 176720.8651     +0.0000i,  12226.0226     +0.0000i,  31650.3794     +0.0000i,  25932.2602     +0.0000i, 310391.2547     +0.0000i, 434049.0550     +0.0000i,  24294.0752     +0.0000i,  82597.7469     +0.0000i,   7714.8930     +0.0000i, 203431.2634     +0.0000i, 473333.6961     +0.0000i,  68043.1026     +0.0000i,  75904.7538     +0.0000i,  28264.4998     +0.0000i,  16423.8583     +0.0000i,1711820.2497     +0.0000i,  21646.7565     +0.0000i, 104023.9687     +0.0000i,  66856.8583     +0.0000i, 234908.0140     +0.0000i,1482978.4322     +0.0000i
   1976.0000,  88894.1806     +0.0000i,  35949.5546     +0.0000i,  59922.0547     +0.0000i, 157345.6109     +0.0000i, 173537.5210     +0.0000i,  14177.8301     +0.0000i,  33811.0485     +0.0000i,  26602.5016     +0.0000i, 320170.9656     +0.0000i, 464262.7339     +0.0000i,  26954.1311     +0.0000i,  86981.2544     +0.0000i,   7951.5355     +0.0000i, 203562.3352     +0.0000i, 553252.8752     +0.0000i,  68912.3048     +0.0000i,  81567.1615     +0.0000i,  30419.0796     +0.0000i,  17512.5275     +0.0000i,1826604.8500     +0.0000i,  29143.6996     +0.0000i, 105143.2765     +0.0000i,  69219.7033     +0.0000i, 225847.5734     +0.0000i,1686644.6176     +0.0000i
   1977.0000,  88469.6694     +0.0000i,  44466.7978     +0.0000i,  70615.7975     +0.0000i, 161164.7544     +0.0000i, 180745.4098     +0.0000i,  17990.0704     +0.0000i,  37623.6270     +0.0000i,  27227.9961     +0.0000i, 352888.9495     +0.0000i, 541724.1380     +0.0000i,  30554.0685     +0.0000i,  95839.3284     +0.0000i,   9882.8295     +0.0000i, 227480.7616     +0.0000i, 667616.7681     +0.0000i,  68666.7915     +0.0000i,  94824.9834     +0.0000i,  36344.6396     +0.0000i,  20159.9379     +0.0000i,2064243.2091     +0.0000i,  37982.4170     +0.0000i, 116332.2626     +0.0000i,  72199.7723     +0.0000i, 257865.4077     +0.0000i,1881631.0194     +0.0000i
   1978.0000,  94978.3694     +0.0000i,  51460.9722     +0.0000i,  86056.5468     +0.0000i, 168993.5723     +0.0000i, 166847.2508     +0.0000i,  22449.2545     +0.0000i,  44013.4932     +0.0000i,  29253.6153     +0.0000i, 434515.4897     +0.0000i, 659968.3495     +0.0000i,  34873.5216     +0.0000i, 105542.8333     +0.0000i,  13633.3294     +0.0000i, 279049.5416     +0.0000i, 929862.3780     +0.0000i,  80067.0347     +0.0000i, 114598.3252     +0.0000i,  34980.8314     +0.0000i,  22145.6070     +0.0000i,2373937.6119     +0.0000i,  53561.1960     +0.0000i, 142725.8224     +0.0000i,  76835.4408     +0.0000i, 323087.8541     +0.0000i,2110523.9710     +0.0000i
   1979.0000, 113641.7556     +0.0000i,  61252.1242     +0.0000i, 100551.9120     +0.0000i, 200812.1104     +0.0000i, 202464.2971     +0.0000i,  25825.1167     +0.0000i,  52057.7601     +0.0000i,  38167.2080     +0.0000i, 522033.8727     +0.0000i, 780370.4922     +0.0000i,  40864.6031     +0.0000i, 122466.6481     +0.0000i,  16839.6671     +0.0000i, 350915.7313     +0.0000i, 987097.6431     +0.0000i, 112329.3783     +0.0000i, 133622.6284     +0.0000i,  42656.7785     +0.0000i,  24734.9992     +0.0000i,2655934.2723     +0.0000i,  68759.9125     +0.0000i, 184377.5305     +0.0000i,  93013.3653     +0.0000i, 411322.4441     +0.0000i,2401837.1841     +0.0000i
   1980.0000, 128521.2947     +0.0000i,  71225.5659     +0.0000i, 105524.8405     +0.0000i, 223733.7068     +0.0000i, 241125.7251     +0.0000i,  31605.1562     +0.0000i,  53575.1391     +0.0000i,  47114.1580     +0.0000i, 591311.4732     +0.0000i, 823803.5541     +0.0000i,  43407.3981     +0.0000i, 149527.5948     +0.0000i,  18516.0074     +0.0000i, 437290.8083     +0.0000i,1080184.7995     +0.0000i, 153483.3146     +0.0000i, 141475.1616     +0.0000i,  50058.4557     +0.0000i,  31430.8116     +0.0000i,3005985.7057     +0.0000i,  66308.4890     +0.0000i, 202296.6693     +0.0000i, 106005.9186     +0.0000i, 508310.4148     +0.0000i,2557906.5340     +0.0000i
   1981.0000, 149168.2576     +0.0000i,  61511.3385     +0.0000i,  89703.6083     +0.0000i, 259885.0785     +0.0000i, 232218.8036     +0.0000i,  33084.9013     +0.0000i,  46504.9312     +0.0000i,  42714.1975     +0.0000i, 517168.7716     +0.0000i, 691705.0153     +0.0000i,  40393.3427     +0.0000i, 150998.8830     +0.0000i,  17957.8074     +0.0000i, 391947.1544     +0.0000i,1181906.5431     +0.0000i, 194140.3465     +0.0000i, 121056.3346     +0.0000i,  48367.0267     +0.0000i,  31653.8809     +0.0000i,3088901.2312     +0.0000i,  76943.0559     +0.0000i, 179980.1174     +0.0000i,  93901.6744     +0.0000i, 469260.5918     +0.0000i,2906694.8406     +0.0000i
