                  country,   volatility
                Australia, 0.0009525641
                  Austria, 0.0002839641
   Belgium and Luxembourg, 0.0056324570
                   Canada, 0.0004115619
                    China, 0.0059711685
                 Colombia, 0.0008079049
                  Denmark, 0.0002728039
                  Finland, 0.0005152466
                   France, 0.0001747630
                  Germany, 0.0001806540
                   Greece, 0.0002456705
                    India, 0.0022228861
                  Ireland, 0.0936699317
                    Italy, 0.0001059006
                    Japan, 0.0001226364
                   Mexico, 0.0041684162
              Netherlands, 0.0027747144
                   Norway, 0.0068807111
                 Portugal, 0.0032081317
                      ROW, 0.0017149216
              South Korea, 0.0012868239
                    Spain, 0.0001748028
                   Sweden, 0.0004178993
           United Kingdom, 0.0001892638
            United States, 0.0001918846
