year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
 1972.0000,    7.0568,    5.6337,    7.6108,    8.6675,   12.2347,    5.1332,    8.1925,    6.8311,    7.5193,    7.5482,    4.2072,    4.8616,    5.8591,    5.8963,    6.2462,    4.2265,    6.2078,    7.6919,    4.7913,    9.1806,    3.4916,    4.3374,    9.3493,    6.9664,    9.0656
 1973.0000,    8.7773,    6.4965,    8.3682,    8.7205,   12.7822,    5.1194,    9.6795,    7.6393,    8.3568,    8.6182,    4.9202,    5.1746,    5.8028,    6.2579,    7.1785,    4.4970,    7.1379,    8.7111,    5.3438,    9.5382,    3.8380,    4.9069,   10.0518,    6.9345,    8.9854
 1974.0000,   11.0221,    7.4078,    9.3511,    9.9402,   12.7494,    5.8702,   10.8151,    9.5013,    8.5522,    9.3749,    5.6830,    6.0875,    6.3585,    6.8300,    8.0219,    5.4228,    7.9473,    9.9642,    6.4812,    9.3596,    5.1193,    5.7010,   11.2688,    7.6528,    9.6503
 1975.0000,   11.4449,    8.3213,   10.9071,   10.1393,   13.3243,    5.8314,   12.5946,   11.0896,   10.5892,   10.3006,    6.0187,    5.7438,    7.3515,    7.6502,    8.3164,    5.8014,    9.0995,   11.7716,    7.2772,    9.1033,    5.4084,    6.5239,   13.0419,    8.8914,   10.2547
 1976.0000,   11.8754,    8.3079,   11.1088,   11.0608,   12.5954,    6.2784,   12.8431,   11.5494,   10.5562,   10.4824,    6.2283,    5.4703,    7.0997,    7.2178,    9.2039,    5.6468,    9.3959,   12.0913,    7.4145,    9.1317,    6.3230,    6.4474,   13.4454,    8.3702,   10.9994
 1977.0000,   11.5597,    9.6101,   12.9132,   11.0138,   12.5605,    7.5552,   14.0196,   11.9516,   11.1242,   11.7405,    6.9032,    5.7289,    7.8947,    7.8754,   10.7445,    5.3260,   10.6957,   13.9171,    7.0199,    9.5741,    7.2217,    6.9632,   14.3616,    9.2320,   11.7077
 1978.0000,   12.3698,   11.1013,   14.9950,   11.0468,   14.0741,    8.3349,   15.8809,   12.4049,   12.9370,   13.6835,    7.5093,    6.1740,    9.3824,    9.1395,   13.9332,    5.8036,   12.4137,   13.8527,    7.2955,   10.7041,    8.5799,    8.1310,   15.3812,   10.9619,   12.2197
 1979.0000,   13.4583,   12.4373,   16.8459,   12.0227,   16.6682,    9.4010,   18.2019,   14.5128,   15.0846,   15.6303,    8.7148,    7.0299,   11.1964,   10.7216,   13.9821,    7.0825,   14.2032,   15.4101,    7.9809,   11.1257,   10.3094,   10.5756,   17.7329,   13.6732,   13.3127
 1980.0000,   14.4421,   13.6701,   17.1417,   12.8416,   18.5003,   10.6351,   18.4005,   16.7551,   16.7002,   16.3866,    8.9222,    8.0670,   12.8507,   12.6339,   14.4216,    8.3546,   14.7718,   16.6116,    9.5186,   11.6695,   10.2652,   11.3150,   19.8140,   16.9637,   14.2610
 1981.0000,   15.8234,   11.4764,   14.3022,   13.8918,   15.9652,   10.8639,   15.7486,   15.0650,   14.2564,   13.5545,    8.0156,    7.7237,   11.7606,   10.9877,   14.7875,    9.4514,   12.2919,   15.2715,    9.0951,   11.6068,   10.6581,    9.8612,   17.4564,   15.4709,   15.2497
