                  country,   volatility
                Australia, 0.0007869140
                  Austria, 0.0001494921
   Belgium and Luxembourg, 0.0002111742
                   Canada, 0.0001694653
                    China, 0.0058283972
                 Colombia, 0.0008342871
                  Denmark, 0.0001436029
                  Finland, 0.0003703726
                   France, 0.0001381347
                  Germany, 0.0001449106
                   Greece, 0.0002488860
                    India, 0.0007522471
                  Ireland, 0.0005408609
                    Italy, 0.0000862718
                    Japan, 0.0001272545
                   Mexico, 0.0009233495
              Netherlands, 0.0001432587
                   Norway, 0.0004602549
                 Portugal, 0.0009264499
                      ROW, 0.0017221634
              South Korea, 0.0007815647
                    Spain, 0.0001603997
                   Sweden, 0.0001936048
           United Kingdom, 0.0001702644
            United States, 0.0001962014
