country, data, baseline, nosectoral, kappa1972, kappa1972_nosectoral, trade_barriers, specialization, diversification
                Australia, 0.0008845367, 0.0008112983, 0.0008403616, 0.0014354591, 0.0015199903,     -43.4816,       3.8641,     -47.3457
                  Austria, 0.0002503339, 0.0002802876, 0.0002587605, 0.0011477095, 0.0010393374,     -75.5785,      -7.5668,     -68.0117
   Belgium and Luxembourg, 0.0002992837, 0.0003510119, 0.0001980465, 0.0069208916, 0.0065804992,     -94.9282,      -2.7081,     -92.2201
                   Canada, 0.0001676952, 0.0002073006, 0.0001626560, 0.0015631021, 0.0013999587,     -86.7379,      -7.5810,     -79.1569
                    China, 0.0058123452, 0.0063604271, 0.0058537228, 0.0069693039, 0.0065371827,      -8.7366,       1.0702,      -9.8067
                 Colombia, 0.0009796886, 0.0011356125, 0.0009210598, 0.0013013312, 0.0010937505,     -12.7346,       0.5358,     -13.2703
                  Denmark, 0.0002883981, 0.0003200494, 0.0001447586, 0.0010925364, 0.0008429497,     -70.7058,      -6.8003,     -63.9055
                  Finland, 0.0003961823, 0.0003544071, 0.0003453676, 0.0011109177, 0.0011190730,     -68.0978,       1.5478,     -69.6456
                   France, 0.0002095683, 0.0002235031, 0.0001421199, 0.0004664872, 0.0004054860,     -52.0881,       4.3693,     -56.4573
                  Germany, 0.0002663971, 0.0002852800, 0.0001853873, 0.0004732408, 0.0004050170,     -39.7178,       6.6919,     -46.4097
                   Greece, 0.0003197914, 0.0003810036, 0.0002956810, 0.0006422912, 0.0005862006,     -40.6806,       4.5512,     -45.2318
                    India, 0.0009485480, 0.0008981790, 0.0008404282, 0.0039915099, 0.0038154743,     -77.4978,      -2.9634,     -74.5344
                  Ireland, 0.0006334412, 0.0008700597, 0.0006144130, 0.0592309320, 0.0583347183,     -98.5311,      -1.0815,     -97.4496
                    Italy, 0.0001860076, 0.0001754735, 0.0001109680, 0.0003090999, 0.0003191060,     -43.2308,      24.1060,     -67.3368
                    Japan, 0.0002715483, 0.0002696193, 0.0001284680, 0.0004082310, 0.0003012530,     -33.9542,       8.3711,     -42.3253
                   Mexico, 0.0008284599, 0.0009194601, 0.0010300978, 0.0058017173, 0.0058235738,     -84.1519,      -1.5303,     -82.6217
              Netherlands, 0.0001819121, 0.0003172333, 0.0002413294, 0.0031249402, 0.0033522533,     -89.8483,       9.7031,     -99.5515
                   Norway, 0.0006918344, 0.0005924452, 0.0004856620, 0.0107364458, 0.0102889545,     -94.4819,      -3.1734,     -91.3085
                 Portugal, 0.0011875220, 0.0011750445, 0.0008889186, 0.0044040674, 0.0042633926,     -73.3191,       3.3027,     -76.6218
                      ROW, 0.0016878950, 0.0017408307, 0.0018171565, 0.0018781425, 0.0019792967,      -7.3110,       1.3220,      -8.6330
              South Korea, 0.0009708892, 0.0009310366, 0.0006961038, 0.0015950662, 0.0012345353,     -41.6302,      -7.8742,     -33.7561
                    Spain, 0.0001760892, 0.0001756855, 0.0001647857, 0.0004358356, 0.0004700870,     -59.6900,      10.3597,     -70.0496
                   Sweden, 0.0001946359, 0.0002247882, 0.0002287505, 0.0015099231, 0.0014491235,     -85.1126,      -4.2891,     -80.8235
           United Kingdom, 0.0001786052, 0.0001913415, 0.0001825609, 0.0008553057, 0.0008260549,     -77.6289,      -2.3933,     -75.2356
            United States, 0.0002335741, 0.0002741412, 0.0002009986, 0.0005323410, 0.0004602236,     -48.5027,       0.1926,     -48.6953
