country, data, baseline, nosectoral, kappa1972, kappa1972_nosectoral, trade_barriers, specialization, diversification
                Australia, 0.0008845367, 0.0008846958, 0.0009401099, 0.0008472575, 0.0009082646,       4.4188,       0.6601,       3.7586
                  Austria, 0.0002503339, 0.0002887305, 0.0002480535, 0.0008088488, 0.0007226512,     -64.3035,      -5.6278,     -58.6757
   Belgium and Luxembourg, 0.0002992837, 0.0005331209, 0.0004838870, 0.0013041847, 0.0011972692,     -59.1223,      -4.4228,     -54.6995
                   Canada, 0.0001676952, 0.0002352128, 0.0001853285, 0.0005327657, 0.0004328406,     -55.8506,      -9.3926,     -46.4580
                    China, 0.0058123452, 0.0062815239, 0.0058649994, 0.0061388559, 0.0057064106,       2.3240,      -0.2593,       2.5834
                 Colombia, 0.0009796886, 0.0011156807, 0.0008830987, 0.0011889470, 0.0009091755,      -6.1623,      -3.9690,      -2.1933
                  Denmark, 0.0002883981, 0.0003282635, 0.0001494968, 0.0007634853, 0.0006026595,     -57.0046,       2.3499,     -59.3545
                  Finland, 0.0003961823, 0.0003841853, 0.0003495192, 0.0006180775, 0.0005646074,     -37.8419,      -3.0423,     -34.7996
                   France, 0.0002095683, 0.0002059962, 0.0001370516, 0.0002185724, 0.0001357414,      -5.7538,      -6.3532,       0.5994
                  Germany, 0.0002663971, 0.0002505848, 0.0001476896, 0.0002668542, 0.0001610767,      -6.0967,      -1.0801,      -5.0166
                   Greece, 0.0003197914, 0.0003202002, 0.0002205314, 0.0002970964, 0.0002145151,       7.7765,       5.7515,       2.0250
                    India, 0.0009485480, 0.0009159025, 0.0007791976, 0.0008987188, 0.0007588765,       1.9120,      -0.3491,       2.2611
                  Ireland, 0.0006334412, 0.0007801584, 0.0005018718, 0.0024297964, 0.0020528541,     -67.8920,      -4.0602,     -63.8318
                    Italy, 0.0001860076, 0.0001777777, 0.0001121835, 0.0001821540, 0.0001134177,      -2.4025,      -1.7250,      -0.6776
                    Japan, 0.0002715483, 0.0002692514, 0.0001350730, 0.0002698604, 0.0001358007,      -0.2257,       0.0440,      -0.2697
                   Mexico, 0.0008284599, 0.0010335210, 0.0010841420, 0.0020576674, 0.0021427668,     -49.7722,       1.6756,     -51.4478
              Netherlands, 0.0001819121, 0.0002499034, 0.0001469324, 0.0005042578, 0.0003635478,     -50.4413,      -7.4841,     -42.9573
                   Norway, 0.0006918344, 0.0006631866, 0.0006389035, 0.0010915726, 0.0009928741,     -39.2448,      -6.8173,     -32.4276
                 Portugal, 0.0011875220, 0.0011702499, 0.0009192834, 0.0013323208, 0.0010848291,     -12.1646,       0.2608,     -12.4254
                      ROW, 0.0016878950, 0.0017203041, 0.0018439295, 0.0017029479, 0.0018280851,       1.0192,       0.0888,       0.9304
              South Korea, 0.0009708892, 0.0008948428, 0.0006518545, 0.0008990060, 0.0006771886,      -0.4631,       2.3549,      -2.8180
                    Spain, 0.0001760892, 0.0001732790, 0.0001805235, 0.0002072098, 0.0001965217,     -16.3751,      -8.6543,      -7.7208
                   Sweden, 0.0001946359, 0.0002184553, 0.0002239218, 0.0003338376, 0.0002981539,     -34.5624,     -12.3264,     -22.2360
           United Kingdom, 0.0001786052, 0.0001680840, 0.0001187688, 0.0001894612, 0.0001474371,     -11.2832,       3.8483,     -15.1315
            United States, 0.0002335741, 0.0002749636, 0.0001991272, 0.0002732616, 0.0001993765,       0.6228,       0.7141,      -0.0912
