country, data, baseline, nosectoral, kappa1972, kappa1972_nosectoral, trade_barriers, specialization, diversification
                Australia, 0.0008845367, 0.0008845812, 0.0009399677, 0.0008472762, 0.0009083498,       4.4029,       0.6712,       3.7317
                  Austria, 0.0002503339, 0.0002880981, 0.0002477853, 0.0008093664, 0.0007239128,     -64.4045,      -5.5773,     -58.8272
   Belgium and Luxembourg, 0.0002992837, 0.0005322232, 0.0004832882, 0.0012978175, 0.0011910548,     -58.9909,      -4.4558,     -54.5351
                   Canada, 0.0001676952, 0.0002341999, 0.0001845920, 0.0005299397, 0.0004303323,     -55.8063,      -9.4349,     -46.3714
                    China, 0.0058123452, 0.0062822836, 0.0058657657, 0.0061396814, 0.0057073016,       2.3226,      -0.2584,       2.5810
                 Colombia, 0.0009796886, 0.0011158306, 0.0008831945, 0.0011871866, 0.0009078322,      -6.0105,      -3.9352,      -2.0753
                  Denmark, 0.0002883981, 0.0003282791, 0.0001494902, 0.0007632582, 0.0006030951,     -56.9898,       2.4403,     -59.4301
                  Finland, 0.0003961823, 0.0003837046, 0.0003489804, 0.0006169945, 0.0005637816,     -37.8107,      -2.9966,     -34.8141
                   France, 0.0002095683, 0.0002059855, 0.0001370591, 0.0002185160, 0.0001357339,      -5.7344,      -6.3408,       0.6065
                  Germany, 0.0002663971, 0.0002505247, 0.0001476655, 0.0002666610, 0.0001609538,      -6.0512,      -1.0680,      -4.9832
                   Greece, 0.0003197914, 0.0003208758, 0.0002215639, 0.0002975515, 0.0002158299,       7.8387,       5.9117,       1.9271
                    India, 0.0009485480, 0.0009164686, 0.0007795277, 0.0009000415, 0.0007596342,       1.8251,      -0.3851,       2.2103
                  Ireland, 0.0006334412, 0.0007810379, 0.0005025782, 0.0024325956, 0.0020551671,     -67.8928,      -4.0684,     -63.8244
                    Italy, 0.0001860076, 0.0001776800, 0.0001121868, 0.0001820427, 0.0001134295,      -2.3965,      -1.7139,      -0.6826
                    Japan, 0.0002715483, 0.0002692502, 0.0001350701, 0.0002698589, 0.0001358085,      -0.2256,       0.0481,      -0.2736
                   Mexico, 0.0008284599, 0.0010436187, 0.0010931363, 0.0020791068, 0.0021630785,     -49.8045,       1.6572,     -51.4616
              Netherlands, 0.0001819121, 0.0002489912, 0.0001465289, 0.0005031777, 0.0003634474,     -50.5162,      -7.4065,     -43.1097
                   Norway, 0.0006918344, 0.0006647551, 0.0006402691, 0.0010938457, 0.0009950798,     -39.2277,      -6.7907,     -32.4370
                 Portugal, 0.0011875220, 0.0011688779, 0.0009183097, 0.0013309953, 0.0010837648,     -12.1802,       0.2508,     -12.4309
                      ROW, 0.0016878950, 0.0017201624, 0.0018438489, 0.0017029640, 0.0018280556,       1.0099,       0.0825,       0.9274
              South Korea, 0.0009708892, 0.0008955147, 0.0006525618, 0.0008995185, 0.0006777764,      -0.4451,       2.3580,      -2.8031
                    Spain, 0.0001760892, 0.0001733637, 0.0001805920, 0.0002073110, 0.0001966823,     -16.3751,      -8.6136,      -7.7614
                   Sweden, 0.0001946359, 0.0002182757, 0.0002239293, 0.0003319661, 0.0002970373,     -34.2476,     -12.2249,     -22.0227
           United Kingdom, 0.0001786052, 0.0001679785, 0.0001188029, 0.0001891308, 0.0001474353,     -11.1840,       3.9550,     -15.1389
            United States, 0.0002335741, 0.0002749343, 0.0001990631, 0.0002732770, 0.0001993967,       0.6065,       0.7285,      -0.1221
country, data, baseline, nosectoral, kappa1972, kappa1972_nosectoral, trade_barriers, specialization, diversification
                Australia, 0.0008845367, 0.0008846095, 0.0009399236, 0.0008472676, 0.0009083449,       4.4073,       0.6802,       3.7271
                  Austria, 0.0002503339, 0.0002874320, 0.0002475222, 0.0008081248, 0.0007233451,     -64.4322,      -5.5523,     -58.8799
   Belgium and Luxembourg, 0.0002992837, 0.0005313064, 0.0004825787, 0.0012903037, 0.0011832603,     -58.8232,      -4.5195,     -54.3036
                   Canada, 0.0001676952, 0.0002331469, 0.0001838549, 0.0005270997, 0.0004277788,     -55.7680,      -9.4914,     -46.2766
                    China, 0.0058123452, 0.0062833396, 0.0058668910, 0.0061407167, 0.0057082437,       2.3226,      -0.2610,       2.5835
                 Colombia, 0.0009796886, 0.0011166125, 0.0008840223, 0.0011867912, 0.0009075479,      -5.9133,      -3.9310,      -1.9823
                  Denmark, 0.0002883981, 0.0003283349, 0.0001495274, 0.0007624809, 0.0006026501,     -56.9386,       2.4888,     -59.4274
                  Finland, 0.0003961823, 0.0003833263, 0.0003486152, 0.0006159598, 0.0005627030,     -37.7676,      -3.0109,     -34.7568
                   France, 0.0002095683, 0.0002059907, 0.0001370617, 0.0002185022, 0.0001357237,      -5.7260,      -6.3384,       0.6124
                  Germany, 0.0002663971, 0.0002504958, 0.0001477153, 0.0002664605, 0.0001608072,      -5.9914,      -1.0781,      -4.9133
                   Greece, 0.0003197914, 0.0003212248, 0.0002218983, 0.0002977853, 0.0002161716,       7.8713,       5.9482,       1.9231
                    India, 0.0009485480, 0.0009168819, 0.0007800658, 0.0009004606, 0.0007598978,       1.8237,      -0.4161,       2.2397
                  Ireland, 0.0006334412, 0.0007816244, 0.0005030272, 0.0024384583, 0.0020609017,     -67.9460,      -4.0583,     -63.8877
                    Italy, 0.0001860076, 0.0001776072, 0.0001122016, 0.0001819487, 0.0001134242,      -2.3861,      -1.7142,      -0.6719
                    Japan, 0.0002715483, 0.0002692213, 0.0001350552, 0.0002698491, 0.0001358156,      -0.2326,       0.0491,      -0.2818
                   Mexico, 0.0008284599, 0.0010462135, 0.0010953341, 0.0020811748, 0.0021649458,     -49.7297,       1.6649,     -51.3946
              Netherlands, 0.0001819121, 0.0002482252, 0.0001461981, 0.0005017930, 0.0003627025,     -50.5324,      -7.3862,     -43.1462
                   Norway, 0.0006918344, 0.0006656229, 0.0006410202, 0.0010920858, 0.0009931769,     -39.0503,      -6.8041,     -32.2462
                 Portugal, 0.0011875220, 0.0011678785, 0.0009175737, 0.0013281513, 0.0010816941,     -12.0674,       0.2897,     -12.3571
                      ROW, 0.0016878950, 0.0017202216, 0.0018436479, 0.0017029953, 0.0018280379,       1.0115,       0.0949,       0.9166
              South Korea, 0.0009708892, 0.0008960497, 0.0006532290, 0.0008998804, 0.0006781852,      -0.4257,       2.3476,      -2.7733
                    Spain, 0.0001760892, 0.0001734025, 0.0001806177, 0.0002073276, 0.0001967781,     -16.3630,      -8.5684,      -7.7946
                   Sweden, 0.0001946359, 0.0002181226, 0.0002239294, 0.0003306764, 0.0002962389,     -34.0374,     -12.1703,     -21.8671
           United Kingdom, 0.0001786052, 0.0001678961, 0.0001188464, 0.0001889206, 0.0001474485,     -11.1287,       4.0110,     -15.1397
            United States, 0.0002335741, 0.0002749314, 0.0001990420, 0.0002733061, 0.0001994165,       0.5947,       0.7317,      -0.1370
country, data, baseline, nosectoral, kappa1972, kappa1972_nosectoral, trade_barriers, specialization, diversification
                Australia, 0.0008845367, 0.0008845794, 0.0009399450, 0.0008472751, 0.0009083480,       4.4029,       0.6736,       3.7292
                  Austria, 0.0002503339, 0.0002863242, 0.0002469045, 0.0008041942, 0.0007201320,     -64.3961,      -5.5512,     -58.8449
   Belgium and Luxembourg, 0.0002992837, 0.0005291499, 0.0004806769, 0.0012788610, 0.0011712579,     -58.6233,      -4.6237,     -53.9997
                   Canada, 0.0001676952, 0.0002312649, 0.0001825611, 0.0005215555, 0.0004228924,     -55.6586,      -9.5789,     -46.0797
                    China, 0.0058123452, 0.0062846275, 0.0058680042, 0.0061413497, 0.0057088683,       2.3330,      -0.2582,       2.5912
                 Colombia, 0.0009796886, 0.0011174745, 0.0008843093, 0.0011866450, 0.0009072634,      -5.8291,      -3.8947,      -1.9344
                  Denmark, 0.0002883981, 0.0003286437, 0.0001496727, 0.0007577334, 0.0005980329,     -56.6281,       2.5432,     -59.1712
                  Finland, 0.0003961823, 0.0003826681, 0.0003479369, 0.0006147712, 0.0005616460,     -37.7544,      -2.9920,     -34.7624
                   France, 0.0002095683, 0.0002059534, 0.0001371046, 0.0002184271, 0.0001356541,      -5.7107,      -6.3748,       0.6641
                  Germany, 0.0002663971, 0.0002504773, 0.0001475588, 0.0002662098, 0.0001605607,      -5.9098,      -1.0257,      -4.8841
                   Greece, 0.0003197914, 0.0003216801, 0.0002223600, 0.0002980554, 0.0002164584,       7.9263,       5.9462,       1.9800
                    India, 0.0009485480, 0.0009172910, 0.0007800228, 0.0009009559, 0.0007602870,       1.8131,      -0.3775,       2.1905
                  Ireland, 0.0006334412, 0.0007827282, 0.0005037072, 0.0024465526, 0.0020686399,     -68.0069,      -4.0421,     -63.9648
                    Italy, 0.0001860076, 0.0001774901, 0.0001121514, 0.0001818356, 0.0001134379,      -2.3898,      -1.6823,      -0.7075
                    Japan, 0.0002715483, 0.0002691689, 0.0001350471, 0.0002698423, 0.0001358279,      -0.2496,       0.0398,      -0.2894
                   Mexico, 0.0008284599, 0.0010478475, 0.0010966254, 0.0020792411, 0.0021627145,     -49.6043,       1.6687,     -51.2730
              Netherlands, 0.0001819121, 0.0002470799, 0.0001457559, 0.0005005734, 0.0003617129,     -50.6406,      -7.4987,     -43.1419
                   Norway, 0.0006918344, 0.0006660931, 0.0006413354, 0.0010880491, 0.0009892871,     -38.7810,      -6.8016,     -31.9794
                 Portugal, 0.0011875220, 0.0011659203, 0.0009162975, 0.0013230159, 0.0010772919,     -11.8741,       0.2947,     -12.1687
                      ROW, 0.0016878950, 0.0017201482, 0.0018437725, 0.0017029372, 0.0018279647,       1.0107,       0.0824,       0.9283
              South Korea, 0.0009708892, 0.0008966180, 0.0006543034, 0.0009001784, 0.0006788034,      -0.3955,       2.3262,      -2.7217
                    Spain, 0.0001760892, 0.0001734483, 0.0001806605, 0.0002072590, 0.0001967649,     -16.3133,      -8.5431,      -7.7702
                   Sweden, 0.0001946359, 0.0002179579, 0.0002239816, 0.0003294103, 0.0002955692,     -33.8339,     -12.1019,     -21.7320
           United Kingdom, 0.0001786052, 0.0001678029, 0.0001188792, 0.0001886169, 0.0001474505,     -11.0351,       4.1127,     -15.1478
            United States, 0.0002335741, 0.0002748994, 0.0001989784, 0.0002733097, 0.0001994333,       0.5816,       0.7481,      -0.1664
