country, data, baseline, nosectoral, kappa1972, kappa1972_nosectoral, trade_barriers, specialization, diversification
                Australia, 0.0008845367, 0.0008113054, 0.0008403733, 0.0014332509, 0.0015190879,     -43.3940,       3.9609,     -47.3549
                  Austria, 0.0002503339, 0.0002803093, 0.0002587533, 0.0011467681, 0.0010375679,     -75.5566,      -7.6427,     -67.9139
   Belgium and Luxembourg, 0.0002992837, 0.0003509583, 0.0001980209, 0.0069137320, 0.0065739365,     -94.9238,      -2.7027,     -92.2210
                   Canada, 0.0001676952, 0.0002073147, 0.0001626605, 0.0014440491, 0.0013977198,     -85.6435,      -0.1160,     -85.5275
                    China, 0.0058123452, 0.0063608950, 0.0058543900, 0.0069567547, 0.0065362060,      -8.5652,       1.2356,      -9.8008
                 Colombia, 0.0009796886, 0.0011356460, 0.0009210204, 0.0012999724, 0.0010929496,     -12.6408,       0.5848,     -13.2256
                  Denmark, 0.0002883981, 0.0003199514, 0.0001446934, 0.0010919646, 0.0008422771,     -70.6995,      -6.8161,     -63.8834
                  Finland, 0.0003961823, 0.0003543204, 0.0003453276, 0.0011109116, 0.0011181489,     -68.1054,       1.4610,     -69.5664
                   France, 0.0002095683, 0.0002234850, 0.0001421095, 0.0004659015, 0.0004049356,     -52.0317,       4.3807,     -56.4124
                  Germany, 0.0002663971, 0.0002852624, 0.0001853752, 0.0004724120, 0.0004044003,     -39.6158,       6.7474,     -46.3632
                   Greece, 0.0003197914, 0.0003810275, 0.0002956317, 0.0006411852, 0.0005856399,     -40.5745,       4.6555,     -45.2300
                    India, 0.0009485480, 0.0008981820, 0.0008405319, 0.0039874079, 0.0038117565,     -77.4745,      -2.9593,     -74.5152
                  Ireland, 0.0006334412, 0.0008700034, 0.0006142278, 0.0591451213, 0.0582549034,     -98.5290,      -1.0727,     -97.4563
                    Italy, 0.0001860076, 0.0001754721, 0.0001109603, 0.0003083849, 0.0003186161,     -43.0996,      24.2369,     -67.3366
                    Japan, 0.0002715483, 0.0002696442, 0.0001284673, 0.0004073681, 0.0003007982,     -33.8082,       8.4953,     -42.3035
                   Mexico, 0.0008284599, 0.0009195551, 0.0010301450, 0.0057346795, 0.0058096068,     -83.9650,      -0.6219,     -83.3431
              Netherlands, 0.0001819121, 0.0003172194, 0.0002413177, 0.0031316391, 0.0033488716,     -89.8705,       9.3604,     -99.2309
                   Norway, 0.0006918344, 0.0005925930, 0.0004857374, 0.0107135518, 0.0102663782,     -94.4688,      -3.1765,     -91.2922
                 Portugal, 0.0011875220, 0.0011750085, 0.0008888392, 0.0044078541, 0.0042610429,     -73.3428,       3.1616,     -76.5044
                      ROW, 0.0016878950, 0.0017406771, 0.0018169666, 0.0018775637, 0.0019791298,      -7.2907,       1.3462,      -8.6369
              South Korea, 0.0009708892, 0.0009311442, 0.0006960722, 0.0015680226, 0.0012334853,     -40.6167,      -6.3434,     -34.2733
                    Spain, 0.0001760892, 0.0001756738, 0.0001647615, 0.0004347569, 0.0004693773,     -59.5926,      10.4731,     -70.0658
                   Sweden, 0.0001946359, 0.0002247806, 0.0002287420, 0.0015085144, 0.0014473700,     -85.0992,      -4.3159,     -80.7833
           United Kingdom, 0.0001786052, 0.0001913611, 0.0001825703, 0.0008530828, 0.0008241948,     -77.5683,      -2.3558,     -75.2125
            United States, 0.0002335741, 0.0002741230, 0.0002009670, 0.0005295935, 0.0004595263,     -48.2390,       0.5832,     -48.8222
